franchise_id
ATL
CHW
NYY
NYM
OAK
SEA
SFG
STL
ARI
ATL
CLE
HOU
NYY
OAK
SEA
STL
ANA
ARI
ATL
MIN
NYY
OAK
SFG
STL
ATL
BOS
CHC
FLA
MIN
NYY
OAK
SFG
ANA
ATL
BOS
HOU
LAD
MIN
NYY
STL
ATL
BOS
CHW
HOU
ANA
NYY
SDP
STL
DET
LAD
MIN
NYY
NYM
OAK
SDP
STL
ARI
BOS
CHC
CLE
COL
ANA
NYY
PHI
BOS
CHW
CHC
ANA
LAD
MIL
PHI
TBD
BOS
COL
ANA
LAD
MIN
NYY
PHI
STL
ATL
CIN
MIN
NYY
PHI
SFG
TBD
TEX
ARI
DET
MIL
NYY
PHI
STL
TBD
TEX
ATL
BAL
CIN
DET
NYY
OAK
SFG
STL
TEX
WSN
ATL
BOS
CIN
CLE
DET
LAD
OAK
PIT
STL
TBD
BAL
DET
KCR
ANA
LAD
OAK
PIT
SFG
STL
WSN
KCR
TOR
NYY
TEX
HOU
STL
PIT
CHC
NYM
LAD
