Year,Age,Tm,Lg,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB,Pos,Awards
2022,22,DET,AL,65,236,207,19,40,9,0,4,16,0,1,25,61,0.193,0.284,0.295,0.579,69,61,7,2,0,2,0,*3/H,
1 Yr,,,,65,236,207,19,40,9,0,4,16,0,1,25,61,0.193,0.284,0.295,0.579,69,61,7,2,0,2,0,,
162 Game Avg.,,,,162,588,516,47,100,22,0,10,40,0,2,62,152,0.193,0.284,0.295,0.579,69,152,17,5,0,5,0,,
