Year,Age,Tm,Lg,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/W,Awards
2020,23,DET,AL,0,3,0,6.99,7,7,0,0,0,0,28.1,29,25,22,7,13,0,26,5,0,2,133,65,6.47,1.482,9.2,2.2,4.1,8.3,2,
2021,24,DET,AL,7,9,0.438,3.71,30,30,0,1,0,0,150.1,130,64,62,24,41,0,118,11,0,7,612,117,4.71,1.137,7.8,1.4,2.5,7.1,2.88,
2022,25,DET,AL,0,1,0,5.4,2,2,0,0,0,0,10,13,6,6,1,2,0,4,0,0,0,45,74,4.23,1.5,11.7,0.9,1.8,3.6,2,
3 Yrs,,,,7,13,0.35,4.29,39,39,0,1,0,0,188.2,172,95,90,32,56,0,148,16,0,9,790,101,4.95,1.208,8.2,1.5,2.7,7.1,2.64,
162 Game Avg.,,,,6,11,0.35,4.29,34,34,0,1,0,0,165,150,83,78,28,49,0,129,14,0,8,689,101,4.95,1.208,8.2,1.5,2.7,7.1,2.64,
