Year,Rnd,DT,FrRnd,RdPck,Tm,Signed,Bonus,Name,Pos,WAR,G,AB,HR,BA,OPS,G,W,L,ERA,WHIP,SV,Type,Drafted Out of
1989,1,,FrRnd,1,Orioles,Y,"$350,000 ",Ben McDonald (minors),RHP,20.8,1,1,0,0,0,211,78,70,3.91,1.26,0,4Yr,"Louisiana State University (Baton Rouge, LA)"
1988,1,,FrRnd,1,Padres,Y,"$235,000 ",Andy Benes (minors),RHP,31.5,385,741,8,0.143,0.39,403,155,139,3.97,1.31,1,4Yr,"University of Evansville (Evansville, IN)"
1987,1,,FrRnd,1,Mariners,Y,"$160,000 ",Ken Griffey Jr. (minors),OF,83.8,2671,9801,630,0.284,0.907,,,,,,,HS,"Archbishop Moeller HS (Cincinnati, OH)"
1986,1,,FrRnd,1,Pirates,Y,"$180,000 ",Jeff King (minors),SS,16.9,1201,4262,154,0.256,0.749,,,,,,,4Yr,"University of Arkansas (Fayetteville, AR)"
1985,1,,FrRnd,1,Brewers,Y,"$150,000 ",B.J. Surhoff (minors),SS,34.4,2313,8258,188,0.282,0.745,,,,,,,4Yr,"University of North Carolina at Chapel Hill (Chapel Hill, NC)"
1984,1,,FrRnd,1,Mets,Y,"$150,500 ",Shawn Abner (minors),OF,-1.3,392,840,11,0.227,0.591,,,,,,,HS,"Mechanicsburg Area HS (Mechanicsburg, PA)"
1983,1,,FrRnd,1,Twins,N,,Tim Belcher (minors),RHP,26,201,388,2,0.124,0.3,394,146,140,4.16,1.34,5,4Yr,"Mount Vernon Nazarene University (Mount Vernon, OH)"
1982,1,,FrRnd,1,Cubs,Y,"$135,000 ",Shawon Dunston (minors),SS,11.5,1814,5927,150,0.269,0.712,,,,,,,HS,"Thomas Jefferson HS (Brooklyn, NY)"
1981,1,,FrRnd,1,Mariners,Y,"$100,000 ",Mike Moore (minors),RHP,27.9,4,1,0,0,0,450,161,176,4.39,1.42,2,4Yr,"Oral Roberts University (Tulsa, OK)"
1980,1,,FrRnd,1,Mets,Y,"$152,500 ",Darryl Strawberry (minors),OF,42.2,1583,5418,335,0.259,0.862,,,,,,,HS,"Crenshaw HS (Los Angeles, CA)"
1979,1,,FrRnd,1,Mariners,Y,"$60,000 ",Al Chambers (minors),OF,-0.4,57,120,2,0.208,0.618,,,,,,,HS,"John Harris HS (Harrisburg, PA)"
1978,1,,FrRnd,1,Braves,Y,"$162,000 ",Bob Horner (minors),3B,21.8,1020,3777,218,0.277,0.839,,,,,,,4Yr,"Arizona State University (Tempe, AZ)"
