"Year,Age,Tm,Lg,G,PA,Rbat,Rbaser,Rdp,Rfield,Rpos,RAA,WAA,Rrep,RAR,WAR,waaWL%,162WL%,oWAR,dWAR,oRAR,Salary,Pos,Awards,Year-additional"
"2006,24,ATL,NL,55,133,-4,-1,1,2,-2,-5,-0.5,4,0,-0.1,.492,.497,-0.3,0.0,-2,,7H3,,-9999"
"2007,25,ATL,NL,120,307,-15,0,-1,1,-4,-18,-1.8,10,-8,-0.9,.485,.489,-1.0,-0.3,-9,$380000,3H,,-9999"
"2 Seasons,2 Seasons,2 Seasons,,175,440,-19,-1,0,3,-6,-22,-2.3,14,-8,-1.0,.487,.492,-1.3,-0.3,-11,$380000,,,-9999"
"162 Game Avg.,162 Game Avg.,162 Game Avg.,,162,407,-18,-1,0,3,-6,-20,-2.1,13,-7,-0.9,.487,.492,-1.2,-0.3,-10,,,,bat_glossary.shtml#162_avg"
