Year,Age,Tm,Lg,G,PA,Rbat,Rbaser,Rdp,Rfield,Rpos,RAA,WAA,Rrep,RAR,WAR,waaWL%,162WL%,oWAR,dWAR,oRAR,Salary,Pos,Awards
2016,22,ATL,NL,38,145,2,0,0,2,2,6,0.6,5,11,1.1,0.517,0.504,0.9,0.4,9,,6/H,
2017,23,ATL,NL,144,551,-24,0,4,-4,7,-17,-1.9,18,1,-0.1,0.488,0.489,0.3,0.3,5,"$540,000 ",*6/H,
2018,24,ATL,NL,136,533,-11,1,1,9,7,6,0.4,17,24,2.2,0.505,0.504,1.3,1.6,15,"$565,000 ",*6/H,
2019,25,ATL,NL,127,545,-9,0,1,-2,7,-4,-0.6,17,13,1.1,0.497,0.498,1.4,0.4,15,"$585,000 ",*6/H,
2020,26,ATL,NL,60,264,5,1,1,9,4,20,2,9,29,2.8,0.533,0.512,1.9,1.3,20,"$3,150,000 ",*6,MVP-18
2021,27,ATL,NL,160,653,-3,0,0,-7,8,-2,-0.4,22,21,1.9,0.499,0.499,2.7,0,28,"$6,000,000 ",*6/H,
2022,28,ATL,NL,74,305,13,2,0,2,4,22,2.3,10,32,3.2,0.53,0.513,3,0.7,30,,*6,
7 Seasons,,,,739,2996,-27,4,6,9,39,31,2.5,99,130,12.1,0.504,0.501,11.4,4.6,121,"$10,840,000 ",,
162 Game Avg.,,,,162,657,-6,1,1,2,9,7,0.5,22,28,2.7,0.504,0.501,2.5,1,27,,,
