Year,Age,Tm,Lg,G,PA,Rbat,Rbaser,Rdp,Rfield,Rpos,RAA,WAA,Rrep,RAR,WAR,waaWL%,162WL%,oWAR,dWAR,oRAR,Salary,Pos,Awards
2022,22,DET,AL,65,236,-9,-1,-1,-4,-3,-18,-2.1,8,-10,-1.3,0.469,0.488,-0.8,-0.9,-6,,*3/H,
1 Season,,,,65,236,-9,-1,-1,-4,-3,-18,-2.1,8,-10,-1.3,0.469,0.488,-0.8,-0.9,-6,,,
162 Game Avg.,,,,162,588,-22,-2,-2,-10,-7,-45,-5.2,20,-25,-3.2,0.469,0.488,-2,-2.2,-15,,,
