Year,Rnd,RdPck,Tm,Signed,Bonus,Name,Pos,WAR,G,W,L,ERA,WHIP,SV,Type,Drafted Out of,Team Made Playoffs
2000,1,29,Braves ,Y,1250000.0,Adam Wainwright,RHP,46.6,440.0,190.0,110.0,3.34,1.21,3.0,HS,"Glynn Academy HS (Brunswick, GA)",1
2000,1,31,Twins,N,0.0,Aaron Heilman,RHP,1.6,477.0,35.0,46.0,4.4,1.36,16.0,4Yr,"University of Notre Dame (South Bend, IN)",0
2000,1,32,Orioles,Y,1050000.0,Tripper Johnson,RHP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,HS,"Newport HS (Bellevue, WA)",0
2000,1,33,Blue Jays,Y,950000.0,Dustin McGowan,RHP,1.6,290.0,35.0,34.0,4.5,1.38,2.0,HS,"Long County HS (Ludowici, GA)",0
2000,1,34,Reds,Y,900000.0,Dustin Moseley,RHP,0.7,101.0,15.0,21.0,4.67,1.43,0.0,HS,"Arkansas HS (Texarkana, AR)",0
2000,1,36,Mets,Y,895000.0,Bobby Keppel,RHP,0.2,49.0,1.0,5.0,5.36,1.66,0.0,HS,"De Smet Jesuit HS (Creve Coeur, MO)",1
2000,1,37,Indians,Y,850000.0,Derek Thompson,LHP,0.2,4.0,0.0,0.0,3.5,1.44,0.0,HS,"Land O'Lakes HS (Land O'Lakes, FL)",0
2000,1,39,Rangers,Y,625000.0,Chad Hawkins,RHP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4Yr,"Baylor University (Waco, TX)",0
2001,1,2,Cubs,Y,4000000.0,Mark Prior,RHP,16.6,106.0,42.0,29.0,3.51,1.23,0.0,4Yr,"University of Southern California (Los Angeles, CA)",0
2001,1,3,Devil Rays,Y,4200000.0,Dewon Brazelton,RHP,-3.1,63.0,8.0,25.0,6.38,1.68,0.0,4Yr,"Middle Tennessee State University (Murfreesboro, TN)",0
2001,1,4,Phillies,Y,4200000.0,Gavin Floyd,RHP,15.7,243.0,74.0,76.0,4.37,1.32,0.0,HS,"Mount St. Joseph's HS (Baltimore, MD)",0
2001,1,6,Expos,Y,2650000.0,Josh Karp,RHP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4Yr,"University of California, Los Angeles (Los Angeles, CA)",0
2001,1,7,Orioles,Y,2175000.0,Chris Smith,LHP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4Yr,"Cumberland University (Lebanon, TN)",0
2001,1,8,Pirates,Y,2400000.0,John Van Benschoten,RHP,-3.5,26.0,2.0,13.0,9.2,2.14,0.0,4Yr,"Kent State University (Kent, OH)",0
2001,1,9,Royals,Y,2400000.0,Colt Griffin,RHP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,HS,"Marshall HS (Marshall, TX)",0
2001,1,11,Tigers,Y,1800000.0,Kenny Baugh,RHP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4Yr,"Rice University (Houston, TX)",0
2001,1,12,Brewers,Y,2075000.0,Mike Jones,RHP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,HS,"Thunderbird HS (Phoenix, AZ)",0
