"Year,Age,Tm,Lg,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB,Pos,Awards,Year-additional"
"2006,24,ATL,NL,55,133,128,13,30,11,0,5,14,1,0,5,21,.234,.263,.438,.701,76,56,0,0,0,0,0,7H3,,-9999"
"2007,25,ATL,NL,120,307,287,37,62,18,0,11,36,1,1,14,70,.216,.258,.394,.652,67,113,6,3,1,2,3,3H,,-9999"
"2 Yrs,2 Yrs,2 Yrs,2 Yrs,175,440,415,50,92,29,0,16,50,2,1,19,91,.222,.260,.407,.667,70,169,6,3,1,2,3,,,-9999"
"162 Game Avg.,162 Game Avg.,162 Game Avg.,162 Game Avg.,162,407,384,46,85,27,0,15,46,2,1,18,84,.222,.260,.407,.667,70,156,6,3,1,2,3,,,bat_glossary.shtml#162_avg"
