year,league_id,team_id,franchise_id,div_id,rank,g,ghome,w,l,div_win,wc_win,lg_win,ws_win,r,ab,h,double,triple,hr,bb,so,sb,cs,hbp,sf,ra,er,era,cg,sho,sv,ipouts,ha,hra,bba,soa,e,dp,fp,name,park,attendance,bpf,ppf,team_id_br,team_id_lahman45,team_id_retro,make_playoffs_wild_card,make_playoffs_win_division,make_playoffs_win_league,make_playoffs_win_worldseries,make_playoffs
2000,AL,NYA,NYY,E,1,161,80.0,87,74,Y,N,Y,Y,871,5556,1541,294,25,205,631,1007.0,99.0,48.0,57.0,50.0,814,753,4.76,9,6,40,4273,1458,177,577,1040,109,132.0,0.981,New York Yankees,Yankee Stadium II,3055435.0,99,98,NYY,NYA,NYA,False,True,True,True,True
2000,NL,NYN,NYM,E,2,162,81.0,94,68,N,Y,Y,N,807,5486,1445,281,20,198,675,1037.0,66.0,46.0,45.0,51.0,738,670,4.16,8,10,49,4350,1398,164,574,1164,118,121.0,0.98,New York Mets,Shea Stadium,2820530.0,96,96,NYM,NYN,NYN,True,False,True,False,True
2000,AL,OAK,OAK,W,1,161,81.0,91,70,Y,N,N,N,947,5560,1501,281,23,239,750,1159.0,40.0,15.0,52.0,44.0,813,730,4.58,7,11,43,4306,1535,158,615,963,134,164.0,0.978,Oakland Athletics,Oakland Coliseum,1603744.0,96,95,OAK,OAK,OAK,False,True,False,False,True
2000,NL,PHI,PHI,E,5,162,81.0,65,97,N,N,N,N,708,5511,1386,304,40,144,611,1117.0,102.0,30.0,44.0,37.0,830,763,4.77,8,6,34,4316,1458,201,640,1123,100,136.0,0.983,Philadelphia Phillies,Veterans Stadium,1612769.0,100,101,PHI,PHI,PHI,False,False,False,False,False
2000,NL,PIT,PIT,C,5,162,81.0,69,93,N,N,N,N,793,5643,1506,320,31,168,564,1032.0,86.0,40.0,66.0,37.0,888,795,4.94,5,7,27,4347,1554,163,711,1070,132,169.0,0.979,Pittsburgh Pirates,Three Rivers Stadium,1748908.0,99,100,PIT,PIT,PIT,False,False,False,False,False
2000,NL,SDN,SDP,W,5,162,81.0,76,86,N,N,N,N,752,5560,1413,279,37,157,602,1177.0,131.0,53.0,46.0,43.0,815,733,4.52,5,5,46,4378,1443,191,649,1071,141,155.0,0.977,San Diego Padres,Qualcomm Stadium,2352443.0,92,92,SDP,SDN,SDN,False,False,False,False,False
2000,AL,SEA,SEA,W,2,162,81.0,91,71,N,Y,N,N,907,5497,1481,300,26,198,775,1073.0,122.0,56.0,48.0,61.0,780,720,4.49,4,10,44,4325,1442,167,634,998,99,176.0,0.984,Seattle Mariners,Safeco Field,2914624.0,95,93,SEA,SEA,SEA,True,False,False,False,True
2000,NL,SFN,SFG,W,1,162,81.0,97,65,Y,N,N,N,925,5519,1535,304,44,226,709,1032.0,79.0,39.0,51.0,66.0,747,675,4.21,9,15,47,4333,1452,151,623,1076,93,173.0,0.985,San Francisco Giants,PacBell Park,3318800.0,93,92,SFG,SFN,SFN,False,True,False,False,True
2000,NL,SLN,STL,C,1,162,81.0,95,67,Y,N,N,N,887,5478,1481,259,25,235,675,1253.0,87.0,51.0,84.0,53.0,771,698,4.38,10,7,37,4301,1403,196,606,1100,111,148.0,0.981,St. Louis Cardinals,Busch Stadium II,3336493.0,102,101,STL,SLN,SLN,False,True,False,False,True
2000,AL,TBA,TBD,E,5,161,80.0,69,92,N,N,N,N,733,5505,1414,253,22,162,558,1022.0,90.0,46.0,51.0,40.0,842,773,4.86,10,8,38,4294,1553,198,533,955,118,169.0,0.981,Tampa Bay Devil Rays,Tropicana Field,1449673.0,99,100,TBD,TBA,TBA,False,False,False,False,False
2000,AL,TEX,TEX,W,4,162,81.0,71,91,N,N,N,N,848,5648,1601,330,35,173,580,922.0,69.0,47.0,39.0,48.0,974,876,5.52,3,4,39,4287,1683,202,661,918,135,162.0,0.978,Texas Rangers,The Ballpark at Arlington,2588401.0,102,102,TEX,TEX,TEX,False,False,False,False,False
2000,AL,TOR,TOR,E,3,162,81.0,83,79,N,N,N,N,861,5677,1562,328,21,244,526,1026.0,89.0,34.0,60.0,34.0,908,821,5.14,15,4,37,4312,1615,195,560,978,100,176.0,0.984,Toronto Blue Jays,Skydome,1705712.0,103,103,TOR,TOR,TOR,False,False,False,False,False
2001,AL,ANA,ANA,W,3,162,81.0,75,87,N,N,N,N,691,5551,1447,275,26,158,494,1001.0,116.0,52.0,77.0,53.0,730,671,4.2,6,1,43,4313,1452,168,525,947,103,142.0,0.983,Anaheim Angels,Edison International Field,2000919.0,101,101,ANA,ANA,ANA,False,False,False,False,False
2001,NL,ARI,ARI,W,1,162,81.0,92,70,Y,N,Y,Y,818,5595,1494,284,35,208,587,1052.0,71.0,38.0,57.0,36.0,677,627,3.87,12,13,34,4379,1352,195,461,1297,84,148.0,0.986,Arizona Diamondbacks,Bank One Ballpark,2736451.0,108,107,ARI,ARI,ARI,False,True,True,True,True
2001,NL,ATL,ATL,E,1,162,81.0,88,74,Y,N,N,N,729,5498,1432,263,24,174,493,1039.0,85.0,46.0,45.0,52.0,643,578,3.59,5,13,41,4342,1363,153,499,1133,103,133.0,0.983,Atlanta Braves,Turner Field,2823530.0,103,102,ATL,ATL,ATL,False,True,False,False,True
2001,AL,BAL,BAL,E,4,162,80.0,63,98,N,N,N,N,687,5472,1359,262,24,136,514,989.0,133.0,53.0,77.0,49.0,829,744,4.67,10,6,31,4297,1504,194,528,938,125,137.0,0.979,Baltimore Orioles,Oriole Park at Camden Yards,3094841.0,95,96,BAL,BAL,BAL,False,False,False,False,False
2001,AL,BOS,BOS,E,2,161,81.0,82,79,N,N,N,N,772,5605,1493,316,29,198,520,1131.0,46.0,35.0,70.0,41.0,745,667,4.15,3,9,48,4344,1412,146,544,1259,113,129.0,0.981,Boston Red Sox,Fenway Park II,2625333.0,102,101,BOS,BOS,BOS,False,False,False,False,False
2001,AL,CHA,CHW,C,3,162,81.0,83,79,N,N,N,N,798,5464,1463,300,29,214,520,998.0,123.0,59.0,52.0,51.0,795,725,4.55,8,9,51,4300,1465,181,500,921,118,149.0,0.981,Chicago White Sox,Comiskey Park II,1766172.0,104,103,CHW,CHA,CHA,False,False,False,False,False
2001,NL,CHN,CHC,C,3,162,81.0,88,74,N,N,N,N,777,5406,1409,268,32,194,577,1077.0,67.0,36.0,66.0,53.0,701,643,4.03,8,6,41,4311,1357,164,550,1344,109,113.0,0.982,Chicago Cubs,Wrigley Field,2779465.0,95,95,CHC,CHN,CHN,False,False,False,False,False
