Name,Year,OvPck,RdPck,Rnd,Tm,Pos,FrRnd,Signed,Bonus,WAR,G.1,W,L,ERA,WHIP,SV,Type,Drafted Out of
Mike Stodolka(minors),2000,4,4,1,Royals,LHP,FrRnd,Y,"$2,500,000 ",0.0,0.0,0.0,0.0,0.0,0.0,0.0,HS,"Centennial HS (Corona, CA)"
Justin Wayne(minors),2000,5,5,1,Expos,RHP,FrRnd,Y,"$2,950,000 ",-1.5,26.0,5.0,8.0,6.13,1.65,0.0,4Yr,"Stanford University (Palo Alto, CA)"
Matt Harrington(minors),2000,7,7,1,Rockies,RHP,FrRnd,N,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,HS,"Palmdale HS (Palmdale, CA)"
Matt Wheatland(minors),2000,8,8,1,Tigers,RHP,FrRnd,Y,"$2,150,000 ",0.0,0.0,0.0,0.0,0.0,0.0,0.0,HS,"Rancho Bernardo HS (San Diego, CA)"
Mark Phillips(minors),2000,9,9,1,Padres,LHP,FrRnd,Y,"$2,200,000 ",0.0,0.0,0.0,0.0,0.0,0.0,0.0,HS,"Hanover HS (Hanover, PA)"
Joe Torres(minors),2000,10,10,1,Angels,LHP,FrRnd,Y,"$2,080,000 ",0.0,0.0,0.0,0.0,0.0,0.0,0.0,HS,"Gateway HS (Kissimmee, FL)"
Beau Hale(minors),2000,14,14,1,Orioles,RHP,FrRnd,Y,"$2,250,000 ",0.0,0.0,0.0,0.0,0.0,0.0,0.0,4Yr,"University of Texas at Austin (Austin, TX)"
*Billy Traber(minors),2000,16,16,1,Mets via Mariners,LHP,FrRnd,Y,"$400,000 ",-0.7,96.0,12.0,14.0,5.65,1.59,0.0,4Yr,"Loyola Marymount University (Los Angeles, CA)"
Ben Diggins(minors),2000,17,17,1,Dodgers,RHP,FrRnd,Y,"$2,200,000 ",-0.7,5.0,0.0,4.0,8.63,1.92,0.0,4Yr,"University of Arizona (Tucson, AZ)"
Sean Burnett(minors),2000,19,19,1,Pirates,LHP,FrRnd,Y,"$1,650,000 ",5.9,380.0,15.0,23.0,3.52,1.34,10.0,HS,"Wellington Community HS (Wellington, FL)"
*Chris Bootcheck(minors),2000,20,20,1,Angels via Athletics,RHP,FrRnd,Y,"$1,800,000 ",-1.6,91.0,3.0,7.0,6.55,1.66,1.0,4Yr,"Auburn University (Auburn, AL)"
Boof Bonser(minors),2000,21,21,1,Giants,RHP,FrRnd,Y,"$1,245,000 ",-0.5,111.0,19.0,25.0,5.18,1.46,0.0,HS,"Gibbs HS (St. Petersburg, FL)"
Phil Dumatrait(minors),2000,22,22,1,Red Sox,LHP,FrRnd,Y,"$1,275,000 ",-1.8,87.0,4.0,13.0,6.2,1.78,1.0,JC,"Bakersfield College (Bakersfield, CA)"
*Blake Williams(minors),2000,24,24,1,Cardinals via Rangers,RHP,FrRnd,Y,"$1,375,000 ",0.0,0.0,0.0,0.0,0.0,0.0,0.0,4Yr,"Texas State University (San Marcos, TX)"
Rob Stiehl(minors),2000,27,27,1,Astros,RHP,FrRnd,Y,"$1,250,000 ",0.0,0.0,0.0,0.0,0.0,0.0,0.0,JC,"El Camino College (Torrance, CA)"
*Adam Wainwright(minors),2000,29,29,1,Braves via Diamondbacks,RHP,FrRnd,Y,"$1,250,000 ",46.6,440.0,190.0,110.0,3.34,1.21,3.0,HS,"Glynn Academy HS (Brunswick, GA)"
*Aaron Heilman(minors),2000,31,31,1s,Twins,RHP,FrRnd,N,0,1.6,477.0,35.0,46.0,4.4,1.36,16.0,4Yr,"University of Notre Dame (South Bend, IN)"
*Tripper Johnson(minors),2000,32,32,1s,Orioles,RHP,FrRnd,Y,"$1,050,000 ",0.0,0.0,0.0,0.0,0.0,0.0,0.0,HS,"Newport HS (Bellevue, WA)"
*Dustin McGowan(minors),2000,33,33,1s,Blue Jays,RHP,FrRnd,Y,"$950,000 ",1.6,290.0,35.0,34.0,4.5,1.38,2.0,HS,"Long County HS (Ludowici, GA)"
*Dustin Moseley(minors),2000,34,34,1s,Reds,RHP,FrRnd,Y,"$900,000 ",0.7,101.0,15.0,21.0,4.67,1.43,0.0,HS,"Arkansas HS (Texarkana, AR)"
*Bobby Keppel(minors),2000,36,36,1s,Mets,RHP,FrRnd,Y,"$895,000 ",0.2,49.0,1.0,5.0,5.36,1.66,0.0,HS,"De Smet Jesuit HS (Creve Coeur, MO)"
*Derek Thompson(minors),2000,37,37,1s,Indians,LHP,FrRnd,Y,"$850,000 ",0.2,4.0,0.0,0.0,3.5,1.44,0.0,HS,"Land O'Lakes HS (Land O'Lakes, FL)"
*Chad Hawkins(minors),2000,39,39,1s,Rangers,RHP,FrRnd,Y,"$625,000 ",0.0,0.0,0.0,0.0,0.0,0.0,0.0,4Yr,"Baylor University (Waco, TX)"
Bryan Bullington(minors),2002,1,1,1,Pirates,RHP,FrRnd,Y,"$4,000,000 ",-0.2,26.0,1.0,9.0,5.62,1.58,0.0,4Yr,"Ball State University (Muncie, IN)"
Chris Gruler(minors),2002,3,3,1,Reds,RHP,FrRnd,Y,"$2,500,000 ",0.0,0.0,0.0,0.0,0.0,0.0,0.0,HS,"Liberty HS (Brentwood, CA)"
Adam Loewen(minors),2002,4,4,1,Orioles,LHP,FrRnd,Y,"$3,200,000 ",-0.3,63.0,10.0,8.0,5.85,1.68,0.0,HS,"Fraser Valley Christian HS (Surrey, BC)"
Clint Everts(minors),2002,5,5,1,Expos,RHP,FrRnd,Y,"$2,500,000 ",0.0,0.0,0.0,0.0,0.0,0.0,0.0,HS,"Cypress Falls HS (Houston, TX)"
Zack Greinke(minors),2002,6,6,1,Royals,RHP,FrRnd,Y,"$2,475,000 ",74.9,542.0,221.0,136.0,3.43,1.16,1.0,HS,"Apopka HS (Apopka, FL)"
Jeff Francis(minors),2002,9,9,1,Rockies,LHP,FrRnd,Y,"$1,850,000 ",9.6,254.0,72.0,82.0,4.97,1.44,1.0,4Yr,"University of British Columbia (Vancouver, BC)"
Joe Saunders(minors),2002,12,12,1,Angels,LHP,FrRnd,Y,"$1,825,000 ",8.4,235.0,89.0,86.0,4.37,1.42,0.0,4Yr,"Virginia Polytechnic Institute and State University (Blacksburg, VA)"
Scott Kazmir(minors),2002,15,15,1,Mets,LHP,FrRnd,Y,"$2,150,000 ",22.4,303.0,108.0,97.0,4.02,1.35,0.0,HS,"Cypress Falls HS (Houston, TX)"
Cole Hamels(minors),2002,17,17,1,Phillies,LHP,FrRnd,Y,"$2,000,000 ",59.0,423.0,163.0,122.0,3.43,1.18,0.0,HS,"Rancho Bernardo HS (San Diego, CA)"
Royce Ring(minors),2002,18,18,1,White Sox,LHP,FrRnd,Y,"$1,600,000 ",-0.9,99.0,3.0,3.0,5.29,1.57,0.0,4Yr,"San Diego State University (San Diego, CA)"
Bobby Brownlie(minors),2002,21,21,1,Cubs,RHP,FrRnd,Y,"$2,500,000 ",0.0,0.0,0.0,0.0,0.0,0.0,0.0,4Yr,"Rutgers, the State University of New Jersey (New Brunswick, NJ)"
Jeremy Guthrie(minors),2002,22,22,1,Indians,RHP,FrRnd,Y,"$3,000,000 ",18.4,306.0,91.0,109.0,4.42,1.34,0.0,4Yr,"Stanford University (Palo Alto, CA)"
*Joe Blanton(minors),2002,24,24,1,Athletics via Yankees,RHP,FrRnd,Y,"$1,400,000 ",11.8,427.0,101.0,97.0,4.38,1.34,2.0,4Yr,"University of Kentucky (Lexington, KY)"
Matt Cain(minors),2002,25,25,1,Giants,RHP,FrRnd,Y,"$1,375,000 ",29.1,342.0,104.0,118.0,3.68,1.23,0.0,HS,"Houston HS (Germantown, TN)"
Derick Grigsby(minors),2002,29,29,1,Astros,RHP,FrRnd,Y,"$1,125,000 ",0.0,0.0,0.0,0.0,0.0,0.0,0.0,JC,"Northeast Texas Community College (Mount Pleasant, TX)"
