Year,Rnd,DT,OvPck,FrRnd,RdPck,Tm,Signed,Bonus,Name,Pos,WAR,G,AB,HR,BA,OPS,G,W,L,ERA,WHIP,SV,Type,Drafted Out of
2009,1,,1,FrRnd,1,Nationals,Y,"$7,500,000 ",Stephen Strasburg (minors),RHP,32.3,233,440,4,0.152,0.4,247,113,62,3.24,1.1,0,4Yr,"San Diego State University (San Diego, CA)"
2009,1,,2,FrRnd,2,Mariners,Y,"$6,000,000 ",Dustin Ackley (minors),CF,7.7,635,2125,46,0.241,0.672,,,,,,,4Yr,"University of North Carolina at Chapel Hill (Chapel Hill, NC)"
2009,1,,3,FrRnd,3,Padres,Y,"$6,250,000 ",Donavan Tate (minors),CF,,,,,,,,,,,,,HS,"Cartersville HS (Cartersville, GA)"
2009,1,,4,FrRnd,4,Pirates,Y,"$2,500,000 ",Tony Sanchez (minors),C,0.1,52,144,4,0.257,0.676,,,,,,,4Yr,"Boston College (Chestnut Hill, MA)"
2009,1,,5,FrRnd,5,Orioles,Y,"$2,422,000 ",Matt Hobgood (minors),RHP,,,,,,,,,,,,,HS,"Norco HS (Norco, CA)"
2009,1,,6,FrRnd,6,Giants,Y,"$3,300,000 ",Zack Wheeler (minors),RHP,22.8,152,288,1,0.153,0.367,184,69,54,3.44,1.21,0,HS,"East Paulding HS (Dallas, GA)"
2009,1,,7,FrRnd,7,Braves,Y,"$2,420,000 ",Mike Minor (minors),LHP,19.2,115,217,2,0.115,0.321,282,80,83,4.18,1.23,6,4Yr,"Vanderbilt University (Nashville, TN)"
2009,1,,8,FrRnd,8,Reds,Y,"$2,270,000 ",Mike Leake (minors),RHP,16.2,269,485,6,0.192,0.491,301,105,98,4.05,1.28,0,4Yr,"Arizona State University (Tempe, AZ)"
2009,1,,9,FrRnd,9,Tigers,Y,"$4,700,000 ",Jacob Turner (minors),RHP,-2.6,73,77,0,0.091,0.257,102,14,31,5.37,1.54,0,HS,"Westminster Christian Academy (Town and Country, MO)"
2009,1s,,10,FrRnd,10,Nationals,Y,"$1,600,000 ",*Drew Storen (minors),RHP,4.8,399,3,0,0.333,0.667,470,29,18,3.45,1.19,99,4Yr,"Stanford University (Palo Alto, CA)"
2009,1,,11,FrRnd,11,Rockies,Y,"$3,900,000 ",Tyler Matzek (minors),LHP,5.5,91,46,0,0.217,0.511,129,12,20,3.55,1.36,0,HS,"Capistrano Valley HS (Mission Viejo, CA)"
2009,1,,12,FrRnd,12,Royals,Y,"$1,500,000 ",Aaron Crow (minors),RHP,2.7,17,0,0,,,254,20,11,3.43,1.32,6,,
2009,1,,13,FrRnd,13,Athletics,Y,"$2,750,000 ",Grant Green (minors),SS,-1.7,129,330,4,0.249,0.62,,,,,,,4Yr,"University of Southern California (Los Angeles, CA)"
