Year,Rnd,DT,OvPck,FrRnd,RdPck,Tm,Signed,Bonus,Name,Pos,WAR,G,AB,HR,BA,OPS,G,W,L,ERA,WHIP,SV,Type,Drafted Out of,Team Made Playoffs
2001,1,,1,FrRnd,1,Twins,Y,"$5,150,000 ",Joe Mauer (minors),C,55.2,1858,6930,143,0.306,0.827,,,,,,,HS,"Cretin HS (St. Paul, MN)",0
2001,1,,2,FrRnd,2,Cubs,Y,"$4,000,000 ",Mark Prior (minors),RHP,16.6,102,204,1,0.201,0.496,106,42,29,3.51,1.23,0,4Yr,"University of Southern California (Los Angeles, CA)",0
2001,1,,3,FrRnd,3,Devil Rays,Y,"$4,200,000 ",Dewon Brazelton (minors),RHP,-3.1,11,6,0,0.167,0.5,63,8,25,6.38,1.68,0,4Yr,"Middle Tennessee State University (Murfreesboro, TN)",0
2001,1,,4,FrRnd,4,Phillies,Y,"$4,200,000 ",Gavin Floyd (minors),RHP,15.7,44,75,0,0.067,0.158,243,74,76,4.37,1.32,0,HS,"Mount St. Joseph's HS (Baltimore, MD)",0
2001,1,,5,FrRnd,5,Rangers,Y,"$4,500,000 ",Mark Teixeira (minors),3B,50.6,1862,6936,409,0.269,0.87,,,,,,,4Yr,"Georgia Institute of Technology (Atlanta, GA)",0
2001,1,,6,FrRnd,6,Expos,Y,"$2,650,000 ",Josh Karp (minors),RHP,,,,,,,,,,,,,4Yr,"University of California, Los Angeles (Los Angeles, CA)",0
2001,1,,7,FrRnd,7,Orioles,Y,"$2,175,000 ",Chris Smith (minors),LHP,,,,,,,,,,,,,4Yr,"Cumberland University (Lebanon, TN)",0
2001,1,,8,FrRnd,8,Pirates,Y,"$2,400,000 ",John Van Benschoten (minors),RHP,-3.5,25,21,1,0.095,0.494,26,2,13,9.2,2.14,0,4Yr,"Kent State University (Kent, OH)",0
2001,1,,9,FrRnd,9,Royals,Y,"$2,400,000 ",Colt Griffin (minors),RHP,,,,,,,,,,,,,HS,"Marshall HS (Marshall, TX)",0
2001,1,,10,FrRnd,10,Astros,Y,"$2,125,000 ",Chris Burke (minors),2B,-1.2,477,1267,23,0.239,0.674,,,,,,,4Yr,"University of Tennessee (Knoxville, TN)",1
2001,1,,11,FrRnd,11,Tigers,Y,"$1,800,000 ",Kenny Baugh (minors),RHP,,,,,,,,,,,,,4Yr,"Rice University (Houston, TX)",0
2001,1,,12,FrRnd,12,Brewers,Y,"$2,075,000 ",Mike Jones (minors),RHP,,,,,,,,,,,,,HS,"Thunderbird HS (Phoenix, AZ)",0
2001,1,,13,FrRnd,13,Angels,Y,"$2,075,000 ",Casey Kotchman (minors),1B,7.5,939,3071,71,0.26,0.711,,,,,,,HS,"Seminole HS (Seminole, FL)",0
2001,1,,14,FrRnd,14,Padres,Y,"$1,875,000 ",Jake Gautreau (minors),3B,,,,,,,,,,,,,4Yr,"Tulane University (New Orleans, LA)",0
2001,1,,15,FrRnd,15,Blue Jays,Y,"$1,865,000 ",Gabe Gross (minors),OF,4.6,657,1461,40,0.239,0.716,,,,,,,4Yr,"Auburn University (Auburn, AL)",0
2001,1,,16,FrRnd,16,White Sox via Marlins,Y,"$1,500,000 ",*Kris Honel (minors),RHP,,,,,,,,,,,,,HS,"Providence Catholic HS (New Lenox, IL)",0
2001,1,,17,FrRnd,17,Indians via Red Sox,Y,"$1,860,000 ",*Dan Denham (minors),RHP,,,,,,,,,,,,,HS,"Deer Valley HS (Antioch, CA)",1
2001,1,,18,FrRnd,18,Mets via Rockies,Y,"$1,508,750 ",*Aaron Heilman (minors),RHP,1.6,456,47,0,0.021,0.083,477,35,46,4.4,1.36,16,4Yr,"University of Notre Dame (South Bend, IN)",0
2001,1,,19,FrRnd,19,Orioles via Yankees,Y,"$1,300,000 ",*Mike Fontenot (minors),2B,4.2,582,1413,27,0.265,0.734,,,,,,,4Yr,"Louisiana State University (Baton Rouge, LA)",0
2001,1,,20,FrRnd,20,Reds,N,,Jeremy Sowers (minors),LHP,1.6,4,4,0,0.25,0.75,72,18,30,5.18,1.44,0,HS,"Ballard HS (Louisville, KY)",0
2001,1,,21,FrRnd,21,Giants via Indians,Y,"$1,380,000 ",*Brad Hennessey (minors),RHP,2.6,149,88,2,0.227,0.563,148,17,23,4.69,1.49,20,4Yr,"Youngstown State University (Youngstown, OH)",0
2001,1,,22,FrRnd,22,Diamondbacks,Y,"$937,000 ",Jason Bulger (minors),RHP,0.7,18,0,0,,,125,7,2,4.33,1.41,1,4Yr,"Valdosta State University (Valdosta, GA)",1
2001,1,,23,FrRnd,23,Yankees via Mariners,Y,"$1,200,000 ",*John-Ford Griffin (minors),OF,0.2,13,23,2,0.304,1.066,,,,,,,4Yr,"Florida State University (Tallahassee, FL)",1
2001,1,,24,FrRnd,24,Braves via Dodgers,Y,"$1,340,000 ",*Macay McBride (minors),LHP,-0.2,104,0,0,,,132,6,2,4.35,1.63,2,HS,"Screven County HS (Sylvania, GA)",1
2001,1,,25,FrRnd,25,Athletics,Y,"$1,350,000 ",Bobby Crosby (minors),SS,5.4,747,2559,62,0.236,0.677,,,,,,,4Yr,"California State University, Long Beach (Long Beach, CA)",1
2001,1,,26,FrRnd,26,Athletics via Mets,Y,"$1,350,000 ",*Jeremy Bonderman (minors),RHP,4.9,15,30,0,0.033,0.067,225,69,81,4.91,1.41,0,HS,"Pasco HS (Pasco, WA)",1
2001,1,,27,FrRnd,27,Indians via White Sox,N,,*Alan Horne (minors),RHP,,,,,,,,,,,,,HS,"Marianna HS (Marianna, FL)",1
2001,1,,28,FrRnd,28,Cardinals,Y,"$900,000 ",Justin Pope (minors),RHP,,,,,,,,,,,,,4Yr,"University of Central Florida (Orlando, FL)",1
2001,1,,29,FrRnd,29,Braves,Y,"$1,250,000 ",Josh Burrus (minors),SS,,,,,,,,,,,,,HS,"Wheeler HS (Marietta, GA)",1
2001,1,,30,FrRnd,30,Giants,Y,"$1,175,000 ",Noah Lowry (minors),LHP,10,110,197,2,0.178,0.464,106,40,31,4.03,1.38,0,4Yr,"Pepperdine University (Malibu, CA)",0
2001,1s,,31,FrRnd,31,Orioles,Y,"$1,150,000 ",*Bryan Bass (minors),SS,,,,,,,,,,,,,HS,"Seminole HS (Seminole, FL)",0
2001,1s,,32,FrRnd,32,Tigers,Y,"$1,100,000 ",*Michael Woods (minors),2B,,,,,,,,,,,,,4Yr,"Southern University and A&M College (Baton Rouge, LA)",0
2001,1s,,33,FrRnd,33,Angels,Y,"$850,000 ",*Jeff Mathis (minors),C,0.2,948,2718,53,0.194,0.551,5,0,1,9,1.8,0,HS,"Marianna HS (Marianna, FL)",0
2001,1s,,34,FrRnd,34,Yankees,Y,"$1,000,000 ",*Bronson Sardinha (minors),SS,0,10,9,0,0.333,0.75,,,,,,,HS,"Kamehameha HS (Honolulu, HI)",1
2001,1s,,35,FrRnd,35,Indians,Y,"$975,000 ",*J.D. Martin (minors),RHP,0.7,24,37,0,0.162,0.373,24,6,9,4.32,1.41,0,HS,"Sherman E. Burroughs HS (Ridgecrest, CA)",1
2001,1s,,36,FrRnd,36,Mariners,Y,"$2,000,000 ",*Michael Garciaparra (minors),SS,,,,,,,,,,,,,HS,"Don Bosco Technical Institute (Rosemead, CA)",1
2001,1s,,37,FrRnd,37,Athletics,Y,"$600,000 ",*John Rheinecker (minors),LHP,-0.3,1,0,0,,,44,8,9,5.65,1.75,0,4Yr,"Missouri State University (Springfield, MO)",1
2001,1s,,38,FrRnd,38,Mets,Y,"$960,000 ",*David Wright (minors),3B,49.2,1585,5998,242,0.296,0.867,,,,,,,HS,"Hickory HS (Chesapeake, VA)",0
2001,1s,,39,FrRnd,39,White Sox,Y,"$872,500 ",*Wyatt Allen (minors),RHP,,,,,,,,,,,,,4Yr,"University of Tennessee (Knoxville, TN)",0
2001,1s,,40,FrRnd,40,Braves,Y,"$850,000 ",*Richard Lewis (minors),2B,,,,,,,,,,,,,4Yr,"Georgia Institute of Technology (Atlanta, GA)",1
2001,1s,,41,FrRnd,41,Giants,Y,"$750,000 ",*Todd Linden (minors),OF,-1.8,270,502,8,0.231,0.638,,,,,,,4Yr,"Louisiana State University (Baton Rouge, LA)",0
2001,1s,,42,FrRnd,42,Yankees,Y,"$600,000 ",*Jon Skaggs (minors),RHP,,,,,,,,,,,,,4Yr,"Rice University (Houston, TX)",1
