Year,Rnd,DT,OvPck,FrRnd,RdPck,Tm,Signed,Bonus,Name,Pos,WAR,G,AB,HR,BA,OPS,G,W,L,ERA,WHIP,SV,Type,Drafted Out of,Team Made Playoffs
2011,1,,1,FrRnd,1,Pirates,Y,"$8,000,000 ",Gerrit Cole (minors),RHP,33.3,128,251,3,0.163,0.393,250,124,65,3.19,1.11,0,4Yr,"University of California, Los Angeles (Los Angeles, CA)",0
2011,1,,2,FrRnd,2,Mariners,Y,"$6,350,000 ",Danny Hultzen (minors),LHP,0.2,6,0,0,,,6,0,0,0,1.8,0,4Yr,"University of Virginia (Charlottesville, VA)",0
2011,1,,3,FrRnd,3,Diamondbacks,Y,"$3,400,000 ",Trevor Bauer (minors),RHP,21,40,73,0,0.069,0.185,222,83,69,3.79,1.24,1,4Yr,"University of California, Los Angeles (Los Angeles, CA)",1
2011,1,,4,FrRnd,4,Orioles,Y,"$4,000,000 ",Dylan Bundy (minors),RHP,7.8,8,14,0,0.143,0.286,175,50,61,4.7,1.3,0,HS,"Owasso HS (Owasso, OK)",0
2011,1,,5,FrRnd,5,Royals,Y,"$7,500,000 ",Bubba Starling (minors),OF,-1.8,91,245,5,0.204,0.544,,,,,,,HS,"Gardner-Edgerton HS (Gardner, KS)",0
2011,1,,6,FrRnd,6,Nationals,Y,"$6,000,000 ",Anthony Rendon (minors),3B,33.1,1071,3992,156,0.285,0.848,,,,,,,4Yr,"Rice University (Houston, TX)",0
2011,1s,,7,FrRnd,7,Diamondbacks,Y,"$5,000,000 ",*Archie Bradley (minors),RHP,5.8,274,63,0,0.095,0.189,329,30,29,3.92,1.36,32,HS,"Broken Arrow HS (Broken Arrow, OK)",1
2011,1,,8,FrRnd,8,Indians,Y,"$2,900,000 ",Francisco Lindor (minors),SS,33.2,983,3904,171,0.275,0.814,,,,,,,HS,"Montverde Academy (Montverde, FL)",0
2011,1,,9,FrRnd,9,Cubs,Y,"$2,625,000 ",Javier Baez (minors),SS,23.7,930,3301,156,0.26,0.769,,,,,,,HS,"Arlington Country Day School (Jacksonville, FL)",0
2011,1s,,10,FrRnd,10,Padres,Y,"$1,863,000 ",*Cory Spangenberg (minors),2B,4.7,419,1250,29,0.256,0.704,2,0,0,13.5,3.5,0,JC,"Indian River State College (Fort Pierce, FL)",0
2011,1,,11,FrRnd,11,Astros,Y,"$2,525,000 ",George Springer (minors),OF,32.3,947,3660,211,0.268,0.853,,,,,,,4Yr,"University of Connecticut (Storrs, CT)",0
2011,1,,12,FrRnd,12,Brewers,Y,"$2,525,000 ",Taylor Jungmann (minors),RHP,1.2,30,45,0,0.244,0.55,30,9,13,4.54,1.38,0,4Yr,"University of Texas at Austin (Austin, TX)",1
2011,1,,13,FrRnd,13,Mets,Y,"$2,100,000 ",Brandon Nimmo (minors),OF,14.7,531,1674,54,0.268,0.831,,,,,,,HS,"East HS (Cheyenne, WY)",0
2011,1,,14,FrRnd,14,Marlins,Y,"$2,000,000 ",Jose Fernandez (minors),RHP,14.2,71,136,2,0.213,0.519,76,38,17,2.58,1.05,0,HS,"Braulio Alonso HS (Tampa, FL)",0
2011,1s,,15,FrRnd,15,Brewers,Y,"$2,000,000 ",*Jed Bradley (minors),LHP,0,6,0,0,,,6,1,1,5.14,1.86,0,4Yr,"Georgia Institute of Technology (Atlanta, GA)",1
2011,1,,16,FrRnd,16,Dodgers,Y,"$1,589,000 ",Chris Reed (minors),LHP,0,2,0,0,,,2,0,0,4.5,1.75,0,4Yr,"Stanford University (Palo Alto, CA)",0
2011,1,,17,FrRnd,17,Angels,Y,"$1,467,000 ",C.J. Cron (minors),1B,13.4,910,3156,166,0.265,0.808,,,,,,,4Yr,"University of Utah (Salt Lake City, UT)",0
2011,1,,18,FrRnd,18,Athletics,Y,"$1,540,000 ",Sonny Gray (minors),RHP,24,63,99,0,0.141,0.328,234,86,73,3.56,1.21,0,4Yr,"Vanderbilt University (Nashville, TN)",0
2011,1,,19,FrRnd,19,Red Sox via Tigers,Y,"$1,500,000 ",*Matt Barnes (minors),RHP,3.2,25,1,0,0,0,405,32,29,4.2,1.35,41,4Yr,"University of Connecticut (Storrs, CT)",0
2011,1,,20,FrRnd,20,Rockies,Y,"$1,400,000 ",Tyler Anderson (minors),LHP,9.3,92,157,2,0.096,0.284,132,38,39,4.44,1.28,0,4Yr,"University of Oregon (Eugene, OR)",0
2011,1,,21,FrRnd,21,Blue Jays,N,,Tyler Beede (minors),RHP,0.2,28,40,0,0.1,0.263,46,5,12,5.07,1.53,0,HS,"Lawrence Academy (Groton, MA)",0
2011,1,,22,FrRnd,22,Cardinals,Y,"$1,300,000 ",Kolten Wong (minors),2B,20.7,1029,3349,73,0.261,0.727,,,,,,,4Yr,"University of Hawaii at Manoa (Honolulu, HI)",1
2011,1,,23,FrRnd,23,Nationals via White Sox,Y,"$2,000,000 ",*Alex Meyer (minors),RHP,0.7,3,2,0,0.5,1,22,5,8,4.63,1.46,0,4Yr,"University of Kentucky (Lexington, KY)",0
2011,1,,24,FrRnd,24,Rays via Red Sox,Y,"$1,600,000 ",*Taylor Guerrieri (minors),RHP,0.2,2,0,0,,,29,0,0,5.5,1.69,0,HS,"Spring Valley HS (Columbia, SC)",1
2011,1,,25,FrRnd,25,Padres,Y,"$2,750,000 ",Joe Ross (minors),RHP,4.9,110,157,0,0.185,0.434,98,26,28,4.26,1.33,0,HS,"Bishop O'Dowd HS (Oakland, CA)",0
2011,1,,26,FrRnd,26,Red Sox via Rangers,Y,"$2,500,000 ",*Blake Swihart (minors),C,-0.3,234,639,12,0.243,0.656,,,,,,,HS,"V Sue Cleveland HS (Rio Rancho, NM)",0
2011,1,,27,FrRnd,27,Reds,Y,"$2,000,000 ",Robert Stephenson (minors),RHP,-0.4,137,36,0,0.028,0.082,179,12,15,4.94,1.45,2,HS,"Alhambra HS (Martinez, CA)",0
2011,1,,28,FrRnd,28,Braves,Y,"$1,134,000 ",Sean Gilmartin (minors),LHP,1.1,64,7,0,0.429,1,81,4,5,4.34,1.42,0,4Yr,"Florida State University (Tallahassee, FL)",0
2011,1,,29,FrRnd,29,Giants,Y,"$1,116,000 ",Joe Panik (minors),SS,5.4,818,2778,42,0.264,0.7,,,,,,,4Yr,"St. John's University (Queens, NY)",0
2011,1,,30,FrRnd,30,Twins,Y,"$1,175,000 ",Levi Michael (minors),SS,,,,,,,,,,,,,4Yr,"University of North Carolina at Chapel Hill (Chapel Hill, NC)",0
2011,1,,31,FrRnd,31,Rays via Yankees,Y,"$1,150,000 ",*Mikie Mahtook (minors),OF,0.3,291,884,33,0.235,0.697,,,,,,,4Yr,"Louisiana State University (Baton Rouge, LA)",1
2011,1,,32,FrRnd,32,Rays,Y,"$963,000 ",Jake Hager (minors),SS,-0.1,42,76,0,0.197,0.531,3,0,0,7.71,1.29,0,HS,"Sierra Vista HS (Las Vegas, NV)",1
2011,1,,33,FrRnd,33,Rangers via Phillies,Y,"$936,000 ",*Kevin Matthews (minors),LHP,,,,,,,,,,,,,HS,"Richmond Hill HS (Richmond Hill, GA)",1
2011,1s,,34,FrRnd,34,Nationals,Y,"$3,000,000 ",*Brian Goodwin (minors),OF,1.5,429,1244,50,0.244,0.757,,,,,,,4Yr,"Miami Dade College, Kendall Campus (Miami, FL)",0
2011,1s,,35,FrRnd,35,Blue Jays,Y,"$990,000 ",*Jacob Anderson (minors),OF,,,,,,,,,,,,,HS,"Chino HS (Chino, CA)",0
