Year,Rnd,DT,OvPck,FrRnd,RdPck,Tm,Signed,Bonus,Name,Pos,WAR,G,AB,HR,BA,OPS,G,W,L,ERA,WHIP,SV,Type,Drafted Out of,Team Made Playoffs
2008,1s,,31,FrRnd,31,Twins,Y,"$1,080,000 ",*Shooter Huntÿ(minors),RHP,,,,,,,,,,,,,4Yr,"Tulane University (New Orleans, LA)",0
2008,1s,,32,FrRnd,32,Brewers,Y,"$1,060,000 ",*Jake Odorizziÿ(minors),RHP,13.4,16,24,0,0.083,0.203,227,71,65,3.95,1.24,1,HS,"Highland HS (Highland, IL)",1
2008,1,,33,FrRnd,33,Mets,Y,"$1,040,000 ",Bradley Holtÿ(minors),RHP,,,,,,,,,,,,,4Yr,"University of North Carolina at Wilmington (Wilmington, NC)",0
2008,1s,,34,FrRnd,34,Phillies,Y,"$1,020,000 ",*Zach Collierÿ(minors),OF,,,,,,,,,,,,,HS,"Chino Hills HS (Chino Hills, CA)",1
2008,1s,,35,FrRnd,35,Brewers,Y,"$1,010,000 ",*Evan Fredericksonÿ(minors),LHP,,,,,,,,,,,,,4Yr,"University of San Francisco (San Francisco, CA)",1
2008,1,,36,FrRnd,36,Royals,Y,"$988,000 ",Mike Montgomeryÿ(minors),LHP,5.9,117,80,1,0.125,0.311,183,23,34,3.84,1.35,3,HS,"William S. Hart HS (Santa Clarita, CA)",0
2008,1s,,37,FrRnd,37,Giants,Y,"$970,000 ",*Conor Gillaspieÿ(minors),3B,2.2,513,1424,33,0.251,0.695,,,,,,,4Yr,"Wichita State University (Wichita, KS)",0
2008,1s,,38,FrRnd,38,Astros,Y,"$930,000 ",*Jordan Lylesÿ(minors),RHP,-2.4,218,223,2,0.112,0.314,305,58,86,5.17,1.43,2,HS,"Hartsville HS (Hartsville, SC)",0
2008,1s,,39,FrRnd,39,Cardinals,Y,"$938,000 ",*Lance Lynnÿ(minors),RHP,29.5,176,283,0,0.085,0.23,293,116,78,3.51,1.27,1,4Yr,"University of Mississippi (Oxford, MS)",0
2008,1s,,40,FrRnd,40,Braves,Y,"$1,000,000 ",*Brett DeVallÿ(minors),LHP,,,,,,,,,,,,,HS,"Niceville HS (Niceville, FL)",0
2008,1s,,41,FrRnd,41,Cubs,Y,"$906,000 ",*Ryan Flahertyÿ(minors),SS,1.1,547,1324,37,0.215,0.629,1,0,0,18,3,0,4Yr,"Vanderbilt University (Nashville, TN)",1
2008,1,,42,FrRnd,42,Padres,Y,"$892,000 ",Jaff Deckerÿ(minors),OF,-1.5,77,161,1,0.174,0.51,1,0,0,0,2,0,HS,"Sunrise Mountain HS (Peoria, AZ)",0
2008,1s,,43,FrRnd,43,Diamondbacks,Y,"$877,000 ",*Wade Mileyÿ(minors),LHP,17,157,297,1,0.158,0.389,287,98,92,4.13,1.38,0,4Yr,"Southeastern Louisiana University (Hammond, LA)",0
2008,1s,,44,FrRnd,44,Yankees,Y,"$700,000 ",*Jeremy Bleichÿ(minors),LHP,-0.1,1,0,0,,,2,0,0,54,6,0,4Yr,"Stanford University (Palo Alto, CA)",0
2008,1s,,45,FrRnd,45,Red Sox,Y,"$849,000 ",*Bryan Priceÿ(minors),RHP,-0.2,0,0,0,,,3,0,0,20.25,3.38,0,4Yr,"Rice University (Houston, TX)",1
2008,1s,,46,FrRnd,46,Padres,Y,"$835,000 ",*Logan Forsytheÿ(minors),3B,12.1,970,3120,71,0.244,0.695,1,0,0,9,3,0,4Yr,"University of Arkansas (Fayetteville, AR)",0
