Year,Rnd,DT,OvPck,FrRnd,RdPck,Tm,Signed,Bonus,Name,Pos,WAR,G,AB,HR,BA,OPS,G,W,L,ERA,WHIP,SV,Type,Drafted Out of,Team Made Playoffs
2013,1,,1,FrRnd,1,Astros,Y,"$6,350,000 ",Mark Appel (minors),RHP,0.1,0,0,,,,2,0,0,0,0.5,0,4Yr,"Stanford University (Palo Alto, CA)",0
2013,1,,2,FrRnd,2,Cubs,Y,"$6,708,400 ",Kris Bryant (minors),3B,28.5,907,3375,167,0.278,0.875,,,,,,,4Yr,"University of San Diego (San Diego, CA)",0
2013,1,,3,FrRnd,3,Rockies,Y,"$4,800,000 ",Jon Gray (minors),RHP,11.3,140,242,1,0.091,0.25,166,57,53,4.54,1.32,0,4Yr,"University of Oklahoma (Norman, OK)",0
2013,1,,4,FrRnd,4,Twins,Y,"$4,544,400 ",Kohl Stewart (minors),RHP,0.2,4,3,0,0.333,0.667,21,5,4,4.88,1.48,0,HS,"St. Pius X HS (Houston, TX)",0
2013,1,,5,FrRnd,5,Indians,Y,"$3,500,000 ",Jackson Frazier (minors),3B,0.2,247,744,29,0.238,0.756,,,,,,,HS,"Loganville HS (Loganville, GA)",1
2013,1,,6,FrRnd,6,Marlins,Y,"$3,516,500 ",Colin Moran (minors),3B,-0.2,497,1511,49,0.263,0.742,,,,,,,4Yr,"University of North Carolina at Chapel Hill (Chapel Hill, NC)",0
2013,1,,7,FrRnd,7,Red Sox,Y,"$2,750,000 ",Trey Ball (minors),LHP,,,,,,,,,,,,,HS,"New Castle Chrysler HS (New Castle, IN)",1
2013,1,,8,FrRnd,8,Royals,Y,"$2,200,000 ",Hunter Dozier (minors),SS,-1.4,506,1804,67,0.244,0.748,,,,,,,4Yr,"Stephen F. Austin State University (Nacogdoches, TX)",0
2013,1,,9,FrRnd,9,Pirates,Y,"$3,029,600 ",*Austin Meadows (minors),CF,6.7,411,1486,70,0.259,0.809,,,,,,,HS,"Grayson HS (Loganville, GA)",1
2013,1,,10,FrRnd,10,Blue Jays,N,,Phil Bickford (minors),RHP,0.9,57,3,0,0.333,0.667,85,4,3,3.84,1.1,1,HS,"Oaks Christian HS (Westlake, CA)",0
2013,1,,11,FrRnd,11,Mets,Y,"$2,600,000 ",Dominic Smith (minors),1B,0.6,437,1217,46,0.249,0.74,,,,,,,HS,"Junipero Serra HS (Gardena, CA)",0
2013,1,,12,FrRnd,12,Mariners,Y,"$2,759,100 ",D.J. Peterson (minors),3B,,,,,,,,,,,,,4Yr,"University of New Mexico (Albuquerque, NM)",0
2013,1,,13,FrRnd,13,Padres,Y,"$2,678,000 ",Hunter Renfroe (minors),RF,9.5,630,2164,141,0.238,0.787,,,,,,,4Yr,"Mississippi State University (Mississippi State, MS)",0
2013,1,,14,FrRnd,14,Pirates,Y,"$2,369,800 ",Reese McGuire (minors),C,1.6,186,495,9,0.24,0.647,,,,,,,HS,"Kentwood HS (Covington, WA)",1
2013,1,,15,FrRnd,15,Diamondbacks,Y,"$2,250,000 ",Braden Shipley (minors),RHP,-0.1,25,34,0,0.088,0.206,26,4,6,5.49,1.6,0,4Yr,"University of Nevada, Reno (Reno, NV)",0
2013,1,,16,FrRnd,16,Phillies,Y,"$2,299,300 ",J.P. Crawford (minors),SS,10.4,451,1628,26,0.253,0.703,,,,,,,HS,"Lakewood HS (Lakewood, CA)",0
2013,1,,17,FrRnd,17,White Sox,Y,"$2,164,000 ",Tim Anderson (minors),SS,18.6,745,3015,96,0.289,0.765,,,,,,,JC,"East Central Community College (Decatur, MS)",0
2013,1,,18,FrRnd,18,Dodgers,Y,"$2,109,900 ",Chris Anderson (minors),RHP,,,,,,,,,,,,,4Yr,"Jacksonville University (Jacksonville, FL)",1
2013,1,,19,FrRnd,19,Cardinals,Y,"$1,850,000 ",Marco Gonzales (minors),LHP,9.7,18,23,0,0.217,0.565,137,55,42,3.97,1.27,0,4Yr,"Gonzaga University (Spokane, WA)",1
2013,1,,20,FrRnd,20,Tigers,Y,"$2,001,700 ",Jonathon Crawford (minors),RHP,,,,,,,,,,,,,4Yr,"University of Florida (Gainesville, FL)",1
2013,1,,21,FrRnd,21,Rays,Y,"$1,972,200 ",Nick Ciuffo (minors),C,-0.2,21,48,1,0.188,0.551,,,,,,,HS,"Lexington HS (Lexington, SC)",1
2013,1,,22,FrRnd,22,Orioles,Y,"$1,947,600 ",Hunter Harvey (minors),RHP,0.6,1,0,0,,,30,1,2,3.08,1.14,0,HS,"Bandys HS (Catawba, NC)",0
2013,1,,23,FrRnd,23,Rangers,Y,"$2,215,000 ",Chi Chi Gonzalez (minors),RHP,-0.2,37,55,0,0.109,0.252,66,9,24,5.66,1.48,0,4Yr,"Oral Roberts University (Tulsa, OK)",0
2013,1,,24,FrRnd,24,Athletics,Y,"$1,800,000 ",Billy McKinney (minors),CF,-0.3,263,690,28,0.206,0.664,,,,,,,HS,"Plano West Senior HS (Plano, TX)",1
