Year,Rnd,DT,OvPck,FrRnd,RdPck,Tm,Signed,Bonus,Name,Pos,WAR,G,AB,HR,BA,OPS,G,W,L,ERA,WHIP,SV,Type,Drafted Out of,Team Made Playoffs
2014,1,,1,FrRnd,1,Astros,N,,Brady Aiken (minors),LHP,,,,,,,,,,,,,HS,"Cathedral Catholic HS (San Diego, CA)",0
2014,1,,2,FrRnd,2,Marlins,Y,"$6,000,000 ",Tyler Kolek (minors),RHP,,,,,,,,,,,,,HS,"Shepherd HS (Shepherd, TX)",0
2014,1,,3,FrRnd,3,White Sox,Y,"$6,582,000 ",Carlos Rodon (minors),LHP,14,8,13,0,0.154,0.385,137,49,43,3.68,1.27,0,4Yr,"North Carolina State University (Raleigh, NC)",0
2014,1,,4,FrRnd,4,Cubs,Y,"$3,125,000 ",Kyle Schwarber (minors),C,10.4,742,2494,176,0.234,0.835,,,,,,,4Yr,"Indiana University Bloomington (Bloomington, IN)",0
2014,1,,5,FrRnd,5,Twins,Y,"$3,851,000 ",Nick Gordon (minors),SS,0.8,136,370,8,0.254,0.684,1,0,0,0,1,0,HS,"Olympia HS (Orlando, FL)",0
2014,1,,6,FrRnd,6,Mariners,Y,"$4,200,000 ",Alex Jackson (minors),OF,-0.9,66,163,3,0.141,0.47,,,,,,,HS,"Rancho Bernardo HS (San Diego, CA)",0
2014,1,,7,FrRnd,7,Phillies,Y,"$3,300,900 ",Aaron Nola (minors),RHP,26.9,152,271,0,0.089,0.267,187,72,54,3.63,1.14,0,4Yr,"Louisiana State University (Baton Rouge, LA)",0
2014,1,,8,FrRnd,8,Rockies,Y,"$2,300,000 ",Kyle Freeland (minors),LHP,15.2,105,173,1,0.127,0.332,140,44,46,4.23,1.4,0,4Yr,"University of Evansville (Evansville, IN)",0
2014,1,,9,FrRnd,9,Blue Jays,Y,"$3,080,800 ",Jeff Hoffman (minors),RHP,-0.3,86,77,0,0.13,0.273,127,14,21,5.68,1.58,1,4Yr,"East Carolina University (Greenville, NC)",0
2014,1,,10,FrRnd,10,Mets,Y,"$2,970,800 ",Michael Conforto (minors),OF,15.7,757,2551,132,0.255,0.824,,,,,,,4Yr,"Oregon State University (Corvallis, OR)",0
