Name,Year,OvPck,RdPck,Rnd,Tm,Pos,DT,FrRnd,Signed,Bonus,WAR,G,AB,HR,BA,OPS,Type,Drafted Out of
Manny Machado(minors),2010,3,3,1,Orioles,SS,0.0,FrRnd,Y,"$5,250,000 ",49.1,1367.0,5367.0,263.0,0.282,0.831,HS,"Brito Miami Private School (Miami, FL)"
Christian Colon(minors),2010,4,4,1,Royals,SS,0.0,FrRnd,Y,"$2,750,000 ",1.1,161.0,378.0,1.0,0.249,0.622,4Yr,"California State University, Fullerton (Fullerton, CA)"
Delino DeShields(minors),2010,8,8,1,Astros,CF,0.0,FrRnd,Y,"$2,150,000 ",5.1,601.0,1828.0,19.0,0.246,0.669,HS,"Woodward Academy (College Park, GA)"
Michael Choice(minors),2010,10,10,1,Athletics,CF,0.0,FrRnd,Y,"$2,000,000 ",-2.0,96.0,272.0,9.0,0.188,0.573,4Yr,"University of Texas at Arlington (Arlington, TX)"
Yasmani Grandal(minors),2010,12,12,1,Reds,C,0.0,FrRnd,Y,"$2,000,000 ",20.6,1068.0,3406.0,174.0,0.238,0.793,4Yr,"University of Miami (Coral Gables, FL)"
*Jake Skole(minors),2010,15,15,1s,Rangers,CF,0.0,FrRnd,Y,"$1,557,000 ",0.0,0.0,0.0,0.0,0.0,0.0,HS,"Blessed Trinity Catholic HS (Roswell, GA)"
Josh Sale(minors),2010,17,17,1,Rays,RF,0.0,FrRnd,Y,"$1,620,000 ",0.0,0.0,0.0,0.0,0.0,0.0,HS,"Bishop Blanchet HS (Seattle, WA)"
*Kolbrin Vitek(minors),2010,20,20,1,Red Sox via Braves,2B,0.0,FrRnd,Y,"$1,359,000 ",0.0,0.0,0.0,0.0,0.0,0.0,4Yr,"Ball State University (Muncie, IN)"
Kellin Deglan(minors),2010,22,22,1,Rangers,C,0.0,FrRnd,Y,"$1,000,000 ",0.0,0.0,0.0,0.0,0.0,0.0,HS,"R. E. Mountain Secondary (Langley, BC)"
Christian Yelich(minors),2010,23,23,1,Marlins,1B,0.0,FrRnd,Y,"$1,700,000 ",34.9,1176.0,4447.0,168.0,0.289,0.848,HS,"Westlake HS (Westlake Village, CA)"
Gary Brown(minors),2010,24,24,1,Giants,CF,0.0,FrRnd,Y,"$1,450,000 ",0.1,7.0,7.0,0.0,0.429,0.857,4Yr,"California State University, Fullerton (Fullerton, CA)"
Zack Cox(minors),2010,25,25,1,Cardinals,3B,0.0,FrRnd,Y,"$2,000,000 ",0.0,0.0,0.0,0.0,0.0,0.0,4Yr,"University of Arkansas (Fayetteville, AR)"
Kyle Parker(minors),2010,26,26,1,Rockies,RF,0.0,FrRnd,Y,"$1,400,000 ",-1.6,64.0,132.0,3.0,0.182,0.513,4Yr,"Clemson University (Clemson, SC)"
Chevy Clarke(minors),2010,30,30,1,Angels,CF,0.0,FrRnd,Y,"$1,089,000 ",0.0,0.0,0.0,0.0,0.0,0.0,HS,"Marietta HS (Marietta, GA)"
*Justin O'Conner(minors),2010,31,31,1s,Rays,C,0.0,FrRnd,Y,"$1,025,000 ",0.0,0.0,0.0,0.0,0.0,0.0,HS,"Cowan HS (Muncie, IN)"
*Mike Kvasnicka(minors),2010,33,33,1s,Astros,C,0.0,FrRnd,Y,"$936,000 ",0.0,0.0,0.0,0.0,0.0,0.0,4Yr,"University of Minnesota (Minneapolis, MN)"
*Matt Lipka(minors),2010,35,35,1s,Braves,SS,0.0,FrRnd,Y,"$800,000 ",0.0,0.0,0.0,0.0,0.0,0.0,HS,"McKinney HS (McKinney, TX)"
