Name,Year,OvPck,RdPck,Rnd,Tm,Pos,DT,FrRnd,Signed,Bonus,WAR,G,AB,HR,BA,OPS,Type,Drafted Out of
Jake Gatewood(minors),2014,41,41,1,Brewers,SS,0.0,FrRnd,Y,"$1,830,000 ",0.0,0.0,0.0,0.0,0.0,0.0,HS,"Clovis HS (Clovis, CA)"
Dansby Swanson(minors),2015,1,1,1,Diamondbacks,SS,0.0,FrRnd,Y,"$6,500,000 ",12.3,746.0,2709.0,91.0,0.255,0.743,4Yr,"Vanderbilt University (Nashville, TN)"
Alex Bregman(minors),2015,2,2,1,Astros,SS,0.0,FrRnd,Y,"$5,900,000 ",27.4,726.0,2672.0,126.0,0.277,0.871,4Yr,"Louisiana State University (Baton Rouge, LA)"
Brendan Rodgers(minors),2015,3,3,1,Rockies,SS,0.0,FrRnd,Y,"$5,500,000 ",2.4,203.0,755.0,23.0,0.265,0.738,HS,"Lake Mary HS (Lake Mary, FL)"
Kyle Tucker(minors),2015,5,5,1,Astros,OF,0.0,FrRnd,Y,"$4,000,000 ",11.5,322.0,1105.0,59.0,0.271,0.853,HS,"H. B. Plant HS (Tampa, FL)"
Andrew Benintendi(minors),2015,7,7,1,Red Sox,OF,0.0,FrRnd,Y,"$3,590,400 ",14.5,696.0,2620.0,71.0,0.278,0.784,4Yr,"University of Arkansas (Fayetteville, AR)"
Ian Happ(minors),2015,9,9,1,Cubs,OF,0.0,FrRnd,Y,"$3,000,000 ",9.2,598.0,1826.0,95.0,0.248,0.81,4Yr,"University of Cincinnati (Cincinnati, OH)"
Cornelius Randolph(minors),2015,10,10,1,Phillies,SS,0.0,FrRnd,Y,"$3,231,300 ",0.0,0.0,0.0,0.0,0.0,0.0,HS,"Griffin HS (Griffin, GA)"
Tyler Stephenson(minors),2015,11,11,1,Reds,C,0.0,FrRnd,Y,"$3,141,600 ",3.7,182.0,508.0,17.0,0.291,0.815,HS,"Kennesaw Mountain HS (Kennesaw, GA)"
Josh Naylor(minors),2015,12,12,1,Marlins,1B,0.0,FrRnd,Y,"$2,200,000 ",1.0,257.0,779.0,27.0,0.257,0.732,HS,"St. Joan of Arc Catholic SS (Mississauga, ON)"
Garrett Whitley(minors),2015,13,13,1,Rays,OF,0.0,FrRnd,Y,"$2,959,600 ",0.0,0.0,0.0,0.0,0.0,0.0,HS,"Niskayuna HS (Niskayuna, NY)"
Trent Grisham(minors),2015,15,15,1,Brewers,OF,0.0,FrRnd,Y,"$2,700,000 ",7.5,321.0,1093.0,39.0,0.23,0.725,HS,"Richland HS (North Richland Hills, TX)"
Kevin Newman(minors),2015,19,19,1,Pirates,SS,0.0,FrRnd,Y,"$2,175,000 ",2.0,367.0,1305.0,18.0,0.257,0.655,4Yr,"University of Arizona (Tucson, AZ)"
Richie Martin(minors),2015,20,20,1,Athletics,SS,0.0,FrRnd,Y,"$1,950,000 ",-2.0,170.0,411.0,7.0,0.212,0.572,4Yr,"University of Florida (Gainesville, FL)"
Nick Plummer(minors),2015,23,23,1,Cardinals,OF,0.0,FrRnd,Y,"$2,124,400 ",-0.1,14.0,29.0,2.0,0.138,0.573,HS,"Brother Rice HS (Bloomfield Hills, MI)"
DJ Stewart(minors),2015,25,25,1,Orioles,OF,0.0,FrRnd,Y,"$2,064,500 ",0.5,195.0,527.0,26.0,0.213,0.728,4Yr,"Florida State University (Tallahassee, FL)"
Taylor Ward(minors),2015,26,26,1,Angels,C,0.0,FrRnd,Y,"$1,670,000 ",2.3,216.0,687.0,27.0,0.253,0.771,4Yr,"California State University, Fresno (Fresno, CA)"
Kyle Holder(minors),2015,30,30,1,Yankees,SS,0.0,FrRnd,Y,"$1,800,000 ",0.0,0.0,0.0,0.0,0.0,0.0,4Yr,"University of San Diego (San Diego, CA)"
Chris Shaw(minors),2015,31,31,1,Giants,1B,0.0,FrRnd,Y,"$1,400,000 ",-0.9,38.0,72.0,1.0,0.153,0.466,4Yr,"Boston College (Chestnut Hill, MA)"
Ke'Bryan Hayes(minors),2015,32,32,1,Pirates,3B,0.0,FrRnd,Y,"$1,855,000 ",6.9,191.0,717.0,14.0,0.271,0.741,HS,"Concordia Lutheran HS (Tomball, TX)"
Christin Stewart(minors),2015,34,34,1,Tigers,OF,0.0,FrRnd,Y,"$1,795,100 ",-1.2,157.0,519.0,15.0,0.225,0.676,4Yr,"University of Tennessee (Knoxville, TN)"
Ryan Mountcastle(minors),2015,36,36,1,Orioles,SS,0.0,FrRnd,Y,"$1,300,000 ",3.3,248.0,934.0,52.0,0.272,0.812,HS,"Paul J. Hagerty HS (Oviedo, FL)"
Daz Cameron(minors),2015,37,37,1,Astros,OF,0.0,FrRnd,Y,"$4,000,000 ",-0.4,70.0,216.0,5.0,0.204,0.606,HS,"Eagle's Landing Christian Academy (McDonough, GA)"
Tyler Nevin(minors),2015,38,38,1,Rockies,3B,0.0,FrRnd,Y,"$2,000,000 ",0.0,48.0,138.0,3.0,0.196,0.615,HS,"Poway HS (Poway, CA)"
Austin Riley(minors),2015,41,41,1,Braves,3B,0.0,FrRnd,Y,"$1,600,000 ",7.8,370.0,1360.0,79.0,0.27,0.834,HS,"DeSoto Central HS (Southaven, MS)"
Dustin Ackley(minors),2009,2,2,1,Mariners,CF,0.0,FrRnd,Y,"$6,000,000 ",7.7,635.0,2125.0,46.0,0.241,0.672,4Yr,"University of North Carolina at Chapel Hill (Chapel Hill, NC)"
Donavan Tate(minors),2009,3,3,1,Padres,CF,0.0,FrRnd,Y,"$6,250,000 ",0.0,0.0,0.0,0.0,0.0,0.0,HS,"Cartersville HS (Cartersville, GA)"
Tony Sanchez(minors),2009,4,4,1,Pirates,C,0.0,FrRnd,Y,"$2,500,000 ",0.1,52.0,144.0,4.0,0.257,0.676,4Yr,"Boston College (Chestnut Hill, MA)"
Grant Green(minors),2009,13,13,1,Athletics,SS,0.0,FrRnd,Y,"$2,750,000 ",-1.7,129.0,330.0,4.0,0.249,0.62,4Yr,"University of Southern California (Los Angeles, CA)"
Bobby Borchering(minors),2009,16,16,1,Diamondbacks,3B,0.0,FrRnd,Y,"$1,800,000 ",0.0,0.0,0.0,0.0,0.0,0.0,HS,"Bishop Verot HS (Fort Myers, FL)"
*AJ Pollock(minors),2009,17,17,1,Diamondbacks via Dodgers,CF,0.0,FrRnd,Y,"$1,400,000 ",22.8,959.0,3388.0,130.0,0.279,0.808,4Yr,"University of Notre Dame (South Bend, IN)"
Jiovanni Mier(minors),2009,21,21,1,Astros,SS,0.0,FrRnd,Y,"$1,358,000 ",0.0,0.0,0.0,0.0,0.0,0.0,HS,"Bonita HS (La Verne, CA)"
Jared Mitchell(minors),2009,23,23,1,White Sox,CF,0.0,FrRnd,Y,"$1,200,000 ",0.0,0.0,0.0,0.0,0.0,0.0,4Yr,"Louisiana State University (Baton Rouge, LA)"
*Randal Grichuk(minors),2009,24,24,1,Angels via Mets,LF,0.0,FrRnd,Y,"$1,242,000 ",10.5,951.0,3270.0,164.0,0.246,0.758,HS,"Lamar Consolidated HS (Rosenberg, TX)"
*Mike Trout(minors),2009,25,25,1,Angels via Yankees,CF,0.0,FrRnd,Y,"$1,215,000 ",79.8,1362.0,4920.0,333.0,0.303,1.001,HS,"Millville Senior HS (Millville, NJ)"
*Nick Franklin(minors),2009,27,27,1,Mariners via Phillies,SS,0.0,FrRnd,Y,"$1,280,000 ",1.2,301.0,833.0,24.0,0.214,0.644,HS,"Lake Brantley HS (Altamonte Springs, FL)"
Rey Fuentes(minors),2009,28,28,1,Red Sox,CF,0.0,FrRnd,Y,"$1,134,000 ",-0.6,100.0,210.0,3.0,0.238,0.595,HS,"Fernando Callejo HS (Manati, Puerto Rico)"
*Slade Heathcott(minors),2009,29,29,1s,Yankees,CF,0.0,FrRnd,Y,"$2,200,000 ",0.4,17.0,25.0,2.0,0.4,1.149,HS,"Texas HS (Texarkana, TX)"
LeVon Washington(minors),2009,30,30,1,Rays,2B,0.0,FrRnd,N,0,0.0,0.0,0.0,0.0,0.0,0.0,HS,"F. W. Buchholz HS (Gainesville, FL)"
Brett Jackson(minors),2009,31,31,1,Cubs,CF,0.0,FrRnd,Y,"$972,000 ",0.0,51.0,124.0,4.0,0.169,0.63,4Yr,"University of California, Berkeley (Berkeley, CA)"
*Tim Wheeler(minors),2009,32,32,1,Rockies via Angels,CF,0.0,FrRnd,Y,"$900,000 ",0.0,0.0,0.0,0.0,0.0,0.0,4Yr,"California State University, Sacramento (Sacramento, CA)"
*Steven Baron(minors),2009,33,33,1s,Mariners,C,0.0,FrRnd,Y,"$980,000 ",-0.4,13.0,26.0,0.0,0.115,0.269,HS,"John A. Ferguson School (Miami, FL)"
*Matt Davidson(minors),2009,35,35,1s,Diamondbacks,3B,0.0,FrRnd,Y,"$900,000 ",-0.7,306.0,1003.0,54.0,0.22,0.719,HS,"Yucaipa HS (Yucaipa, CA)"
*Josh Phegley(minors),2009,38,38,1s,White Sox,C,0.0,FrRnd,Y,"$858,600 ",2.1,387.0,1116.0,35.0,0.225,0.649,4Yr,"Indiana University Bloomington (Bloomington, IN)"
*Kentrail Davis(minors),2009,39,39,1s,Brewers,CF,0.0,FrRnd,Y,"$1,200,000 ",0.0,0.0,0.0,0.0,0.0,0.0,4Yr,"University of Tennessee (Knoxville, TN)"
*Chris Owings(minors),2009,41,41,1s,Diamondbacks,SS,0.0,FrRnd,Y,"$950,000 ",2.3,710.0,2280.0,37.0,0.24,0.653,HS,"Gilbert HS (Gilbert, SC)"
Tim Beckham(minors),2008,1,1,1,Rays,SS,0.0,FrRnd,Y,"$6,150,000 ",3.8,472.0,1614.0,63.0,0.249,0.733,HS,"Griffin HS (Griffin, GA)"
Pedro Alvarez(minors),2008,2,2,1,Pirates,3B,0.0,FrRnd,Y,"$6,000,000 ",5.0,910.0,2980.0,162.0,0.236,0.757,4Yr,"Vanderbilt University (Nashville, TN)"
Eric Hosmer(minors),2008,3,3,1,Royals,1B,0.0,FrRnd,Y,"$6,000,000 ",18.9,1628.0,6154.0,194.0,0.277,0.765,HS,"American Heritage HS (Plantation, FL)"
Buster Posey(minors),2008,5,5,1,Giants,C,0.0,FrRnd,Y,"$6,200,000 ",44.8,1371.0,4970.0,158.0,0.302,0.831,4Yr,"Florida State University (Tallahassee, FL)"
Kyle Skipworth(minors),2008,6,6,1,Marlins,C,0.0,FrRnd,Y,"$2,300,000 ",-0.1,4.0,3.0,0.0,0.0,0.25,HS,"Patriot HS (Jurupa Valley, CA)"
Yonder Alonso(minors),2008,7,7,1,Reds,1B,0.0,FrRnd,Y,"$2,000,000 ",8.1,1072.0,3362.0,100.0,0.259,0.736,4Yr,"University of Miami (Coral Gables, FL)"
Gordon Beckham(minors),2008,8,8,1,White Sox,SS,0.0,FrRnd,Y,"$2,600,000 ",5.5,1069.0,3403.0,80.0,0.237,0.667,4Yr,"University of Georgia (Athens, GA)"
Jason Castro(minors),2008,10,10,1,Astros,C,0.0,FrRnd,Y,"$2,070,000 ",12.5,952.0,2981.0,97.0,0.227,0.699,4Yr,"Stanford University (Palo Alto, CA)"
Justin Smoak(minors),2008,11,11,1,Rangers,1B,0.0,FrRnd,Y,"$3,500,000 ",6.9,1286.0,4153.0,196.0,0.229,0.74,4Yr,"University of South Carolina (Columbia, SC)"
Jemile Weeks(minors),2008,12,12,1,Athletics,2B,0.0,FrRnd,Y,"$1,910,000 ",1.5,260.0,955.0,4.0,0.255,0.667,4Yr,"University of Miami (Coral Gables, FL)"
Brett Wallace(minors),2008,13,13,1,Cardinals,1B,0.0,FrRnd,Y,"$1,840,000 ",-0.2,494.0,1284.0,40.0,0.238,0.705,4Yr,"Arizona State University (Tempe, AZ)"
Aaron Hicks(minors),2008,14,14,1,Twins,OF,0.0,FrRnd,Y,"$1,780,000 ",12.9,811.0,2635.0,96.0,0.233,0.724,HS,"Woodrow Wilson HS (Long Beach, CA)"
Brett Lawrie(minors),2008,16,16,1,Brewers,3B,0.0,FrRnd,Y,"$1,700,000 ",15.6,588.0,2217.0,71.0,0.261,0.734,HS,"Brookswood SS (Langley, BC)"
David Cooper(minors),2008,17,17,1,Blue Jays,1B,0.0,FrRnd,Y,"$1,500,000 ",0.1,72.0,211.0,6.0,0.27,0.751,4Yr,"University of California, Berkeley (Berkeley, CA)"
*Ike Davis(minors),2008,18,18,1,Mets via Braves,1B,0.0,FrRnd,Y,"$1,575,000 ",5.8,665.0,2076.0,81.0,0.239,0.746,4Yr,"Arizona State University (Tempe, AZ)"
Reese Havens(minors),2008,22,22,1,Mets,SS,0.0,FrRnd,Y,"$1,419,000 ",0.0,0.0,0.0,0.0,0.0,0.0,4Yr,"University of South Carolina (Columbia, SC)"
Allan Dykstra(minors),2008,23,23,1,Padres,1B,0.0,FrRnd,Y,"$1,150,000 ",-0.5,13.0,31.0,1.0,0.129,0.515,4Yr,"Wake Forest University (Winston-Salem, NC)"
Anthony Hewitt(minors),2008,24,24,1,Phillies,SS,0.0,FrRnd,Y,"$1,380,000 ",0.0,0.0,0.0,0.0,0.0,0.0,HS,"Salisbury Prep (Salisbury, CT)"
Lonnie Chisenhall(minors),2008,29,29,1,Indians,3B,0.0,FrRnd,Y,"$1,100,000 ",9.0,688.0,2159.0,64.0,0.268,0.747,JC,"Pitt Community College (Winterville, NC)"
Casey Kelly(minors),2008,30,30,1,Red Sox,SS,0.0,FrRnd,Y,"$3,000,000 ",-1.4,27.0,18.0,0.0,0.111,0.222,HS,"Sarasota HS (Sarasota, FL)"
*Zach Collier(minors),2008,34,34,1s,Phillies,OF,0.0,FrRnd,Y,"$1,020,000 ",0.0,0.0,0.0,0.0,0.0,0.0,HS,"Chino Hills HS (Chino Hills, CA)"
*Conor Gillaspie(minors),2008,37,37,1s,Giants,3B,0.0,FrRnd,Y,"$970,000 ",2.2,513.0,1424.0,33.0,0.251,0.695,4Yr,"Wichita State University (Wichita, KS)"
*Ryan Flaherty(minors),2008,41,41,1s,Cubs,SS,0.0,FrRnd,Y,"$906,000 ",1.1,547.0,1324.0,37.0,0.215,0.629,4Yr,"Vanderbilt University (Nashville, TN)"
Jaff Decker(minors),2008,42,42,1,Padres,OF,0.0,FrRnd,Y,"$892,000 ",-1.5,77.0,161.0,1.0,0.174,0.51,HS,"Sunrise Mountain HS (Peoria, AZ)"
*Logan Forsythe(minors),2008,46,46,1s,Padres,3B,0.0,FrRnd,Y,"$835,000 ",12.1,970.0,3120.0,71.0,0.244,0.695,4Yr,"University of Arkansas (Fayetteville, AR)"
Joe Mauer(minors),2001,1,1,1,Twins,C,0.0,FrRnd,Y,"$5,150,000 ",55.2,1858.0,6930.0,143.0,0.306,0.827,HS,"Cretin HS (St. Paul, MN)"
Mark Teixeira(minors),2001,5,5,1,Rangers,3B,0.0,FrRnd,Y,"$4,500,000 ",50.6,1862.0,6936.0,409.0,0.269,0.87,4Yr,"Georgia Institute of Technology (Atlanta, GA)"
Chris Burke(minors),2001,10,10,1,Astros,2B,0.0,FrRnd,Y,"$2,125,000 ",-1.2,477.0,1267.0,23.0,0.239,0.674,4Yr,"University of Tennessee (Knoxville, TN)"
Casey Kotchman(minors),2001,13,13,1,Angels,1B,0.0,FrRnd,Y,"$2,075,000 ",7.5,939.0,3071.0,71.0,0.26,0.711,HS,"Seminole HS (Seminole, FL)"
Jake Gautreau(minors),2001,14,14,1,Padres,3B,0.0,FrRnd,Y,"$1,875,000 ",0.0,0.0,0.0,0.0,0.0,0.0,4Yr,"Tulane University (New Orleans, LA)"
Gabe Gross(minors),2001,15,15,1,Blue Jays,OF,0.0,FrRnd,Y,"$1,865,000 ",4.6,657.0,1461.0,40.0,0.239,0.716,4Yr,"Auburn University (Auburn, AL)"
*Mike Fontenot(minors),2001,19,19,1,Orioles via Yankees,2B,0.0,FrRnd,Y,"$1,300,000 ",4.2,582.0,1413.0,27.0,0.265,0.734,4Yr,"Louisiana State University (Baton Rouge, LA)"
*John-Ford Griffin(minors),2001,23,23,1,Yankees via Mariners,OF,0.0,FrRnd,Y,"$1,200,000 ",0.2,13.0,23.0,2.0,0.304,1.066,4Yr,"Florida State University (Tallahassee, FL)"
Bobby Crosby(minors),2001,25,25,1,Athletics,SS,0.0,FrRnd,Y,"$1,350,000 ",5.4,747.0,2559.0,62.0,0.236,0.677,4Yr,"California State University, Long Beach (Long Beach, CA)"
Josh Burrus(minors),2001,29,29,1,Braves,SS,0.0,FrRnd,Y,"$1,250,000 ",0.0,0.0,0.0,0.0,0.0,0.0,HS,"Wheeler HS (Marietta, GA)"
*Bryan Bass(minors),2001,31,31,1s,Orioles,SS,0.0,FrRnd,Y,"$1,150,000 ",0.0,0.0,0.0,0.0,0.0,0.0,HS,"Seminole HS (Seminole, FL)"
*Michael Woods(minors),2001,32,32,1s,Tigers,2B,0.0,FrRnd,Y,"$1,100,000 ",0.0,0.0,0.0,0.0,0.0,0.0,4Yr,"Southern University and A&M College (Baton Rouge, LA)"
*Jeff Mathis(minors),2001,33,33,1s,Angels,C,0.0,FrRnd,Y,"$850,000 ",0.2,948.0,2718.0,53.0,0.194,0.551,HS,"Marianna HS (Marianna, FL)"
*Bronson Sardinha(minors),2001,34,34,1s,Yankees,SS,0.0,FrRnd,Y,"$1,000,000 ",0.0,10.0,9.0,0.0,0.333,0.75,HS,"Kamehameha HS (Honolulu, HI)"
*Michael Garciaparra(minors),2001,36,36,1s,Mariners,SS,0.0,FrRnd,Y,"$2,000,000 ",0.0,0.0,0.0,0.0,0.0,0.0,HS,"Don Bosco Technical Institute (Rosemead, CA)"
*David Wright(minors),2001,38,38,1s,Mets,3B,0.0,FrRnd,Y,"$960,000 ",49.2,1585.0,5998.0,242.0,0.296,0.867,HS,"Hickory HS (Chesapeake, VA)"
*Richard Lewis(minors),2001,40,40,1s,Braves,2B,0.0,FrRnd,Y,"$850,000 ",0.0,0.0,0.0,0.0,0.0,0.0,4Yr,"Georgia Institute of Technology (Atlanta, GA)"
*Todd Linden(minors),2001,41,41,1s,Giants,OF,0.0,FrRnd,Y,"$750,000 ",-1.8,270.0,502.0,8.0,0.231,0.638,4Yr,"Louisiana State University (Baton Rouge, LA)"
*Mike Conroy(minors),2001,43,43,1s,Indians,OF,0.0,FrRnd,Y,"$870,000 ",0.0,0.0,0.0,0.0,0.0,0.0,HS,"Boston College HS (Boston, MA)"
*Jayson Nix(minors),2001,44,44,1s,Rockies,SS,0.0,FrRnd,Y,"$925,000 ",1.6,466.0,1305.0,38.0,0.212,0.627,HS,"Midland HS (Midland, TX)"
Adrian Gonzalez(minors),2000,1,1,1,Marlins,1B,0.0,FrRnd,Y,"$3,000,000 ",43.5,1929.0,7139.0,317.0,0.287,0.843,HS,"Eastlake HS (Chula Vista, CA)"
Luis Montanez(minors),2000,3,3,1,Cubs,SS,0.0,FrRnd,Y,"$2,750,000 ",-1.3,129.0,305.0,5.0,0.223,0.586,HS,"Coral Park HS (Miami, FL)"
Rocco Baldelli(minors),2000,6,6,1,Devil Rays,OF,0.0,FrRnd,Y,"$2,250,000 ",10.2,519.0,1910.0,60.0,0.278,0.766,HS,"Bishop Hendricken HS (Warwick, RI)"
Dave Krynzel(minors),2000,11,11,1,Brewers,OF,0.0,FrRnd,Y,"$1,950,000 ",0.2,21.0,48.0,0.0,0.188,0.486,HS,"Green Valley HS (Henderson, NV)"
Joe Borchard(minors),2000,12,12,1,White Sox,OF,0.0,FrRnd,Y,"$5,300,000 ",-1.5,301.0,716.0,26.0,0.205,0.636,4Yr,"Stanford University (Palo Alto, CA)"
Shaun Boyd(minors),2000,13,13,1,Cardinals,OF,0.0,FrRnd,Y,"$1,750,000 ",0.0,0.0,0.0,0.0,0.0,0.0,HS,"Vista HS (Vista, CA)"
Chase Utley(minors),2000,15,15,1,Phillies,2B,0.0,FrRnd,Y,"$1,780,000 ",64.5,1937.0,6857.0,259.0,0.275,0.823,4Yr,"University of California, Los Angeles (Los Angeles, CA)"
Miguel Negron(minors),2000,18,18,1,Blue Jays,OF,0.0,FrRnd,Y,"$950,000 ",0.0,0.0,0.0,0.0,0.0,0.0,HS,"Manuela Toro HS (Caguas, Puerto Rico)"
David Espinosa(minors),2000,23,23,1,Reds,SS,0.0,FrRnd,Y,0,0.0,0.0,0.0,0.0,0.0,0.0,HS,"Gulliver Prep HS (Coral Gables, FL)"
*Scott Heard(minors),2000,25,25,1,Rangers via Mets,C,0.0,FrRnd,Y,"$1,475,000 ",0.0,0.0,0.0,0.0,0.0,0.0,HS,"Rancho Bernardo HS (San Diego, CA)"
Corey Smith(minors),2000,26,26,1,Indians,SS,0.0,FrRnd,Y,"$1,375,000 ",0.0,0.0,0.0,0.0,0.0,0.0,HS,"Piscataway HS (Piscataway, NJ)"
Dave Parrish(minors),2000,28,28,1,Yankees,C,0.0,FrRnd,Y,"$1,425,000 ",0.0,0.0,0.0,0.0,0.0,0.0,4Yr,"University of Michigan (Ann Arbor, MI)"
Scott Thorman(minors),2000,30,30,1,Braves,3B,0.0,FrRnd,Y,"$1,225,000 ",-1.0,175.0,415.0,16.0,0.222,0.667,HS,"Preston HS (Cambridge, ON)"
*Tyrell Godwin(minors),2000,35,35,1s,Rangers,OF,0.0,FrRnd,N,0,0.0,3.0,3.0,0.0,0.0,0.0,4Yr,"University of North Carolina at Chapel Hill (Chapel Hill, NC)"
*Kelly Johnson(minors),2000,38,38,1s,Braves,SS,0.0,FrRnd,Y,"$790,000 ",16.6,1399.0,4543.0,155.0,0.251,0.751,HS,"Westwood HS (Austin, TX)"
*Aaron Herr(minors),2000,40,40,1s,Braves,SS,0.0,FrRnd,Y,"$850,000 ",0.0,0.0,0.0,0.0,0.0,0.0,HS,"Hempfield HS (Landisville, PA)"
B.J. Upton(minors),2002,2,2,1,Devil Rays,SS,0.0,FrRnd,Y,"$4,600,000 ",16.8,1469.0,5175.0,164.0,0.244,0.723,HS,"Greenbrier Christian Academy (Chesapeake, VA)"
Prince Fielder(minors),2002,7,7,1,Brewers,1B,0.0,FrRnd,Y,"$2,400,000 ",23.8,1611.0,5821.0,319.0,0.283,0.887,HS,"Eau Gallie HS (Melbourne, FL)"
Scott Moore(minors),2002,8,8,1,Tigers,SS,0.0,FrRnd,Y,"$2,300,000 ",-0.8,152.0,385.0,16.0,0.242,0.713,HS,"Cypress HS (Cypress, CA)"
Drew Meyer(minors),2002,10,10,1,Rangers,SS,0.0,FrRnd,Y,"$1,875,000 ",-0.3,5.0,14.0,0.0,0.214,0.429,4Yr,"University of South Carolina (Columbia, SC)"
Jeremy Hermida(minors),2002,11,11,1,Marlins,OF,0.0,FrRnd,Y,"$2,012,500 ",2.7,632.0,2012.0,65.0,0.257,0.749,HS,"Wheeler HS (Marietta, GA)"
Khalil Greene(minors),2002,13,13,1,Padres,SS,0.0,FrRnd,Y,"$1,500,000 ",8.5,736.0,2567.0,90.0,0.245,0.723,4Yr,"Clemson University (Clemson, SC)"
Russ Adams(minors),2002,14,14,1,Blue Jays,SS,0.0,FrRnd,Y,"$1,785,000 ",0.0,286.0,884.0,17.0,0.247,0.685,4Yr,"University of North Carolina at Chapel Hill (Chapel Hill, NC)"
*Nick Swisher(minors),2002,16,16,1,Athletics via Red Sox,1B,0.0,FrRnd,Y,"$1,780,000 ",21.5,1527.0,5369.0,245.0,0.249,0.799,4Yr,"The Ohio State University (Columbus, OH)"
James Loney(minors),2002,19,19,1,Dodgers,1B,0.0,FrRnd,Y,"$1,500,000 ",11.3,1443.0,5023.0,108.0,0.284,0.746,HS,"Lawrence E Elkins HS (Missouri City, TX)"
Denard Span(minors),2002,20,20,1,Twins,OF,0.0,FrRnd,Y,"$1,700,000 ",27.9,1359.0,5326.0,71.0,0.281,0.745,HS,"Tampa Catholic HS (Tampa, FL)"
Jeff Francoeur(minors),2002,23,23,1,Braves,OF,0.0,FrRnd,Y,"$2,200,000 ",6.8,1480.0,5260.0,160.0,0.261,0.72,HS,"Parkview HS (Lilburn, GA)"
John McCurdy(minors),2002,26,26,1,Athletics,SS,0.0,FrRnd,Y,"$1,375,000 ",0.0,0.0,0.0,0.0,0.0,0.0,4Yr,"University of Maryland (College Park, MD)"
Sergio Santos(minors),2002,27,27,1,Diamondbacks,SS,0.0,FrRnd,Y,"$1,400,000 ",2.0,27.0,1.0,0.0,0.0,0.0,HS,"Mater Dei HS (Santa Ana, CA)"
John Mayberry(minors),2002,28,28,1,Mariners,OF,0.0,FrRnd,N,0,1.5,574.0,1386.0,56.0,0.235,0.72,HS,"Rockhurst HS (Kansas City, MO)"
*Matt Whitney(minors),2002,33,33,1s,Indians,3B,0.0,FrRnd,Y,"$1,125,000 ",0.0,0.0,0.0,0.0,0.0,0.0,HS,"Palm Beach Gardens HS (Palm Beach Gardens, FL)"
*Jeremy Brown(minors),2002,35,35,1s,Athletics,C,0.0,FrRnd,Y,"$350,000 ",0.1,5.0,10.0,0.0,0.3,0.864,4Yr,"University of Alabama (Tuscaloosa, AL)"
*Mark Teahen(minors),2002,39,39,1s,Athletics,3B,0.0,FrRnd,Y,"$725,000 ",2.6,831.0,2873.0,67.0,0.264,0.736,4Yr,"Saint Mary's College of California (Moraga, CA)"
*Mark Schramek(minors),2002,40,40,1s,Reds,3B,0.0,FrRnd,Y,"$200,000 ",0.0,0.0,0.0,0.0,0.0,0.0,4Yr,"University of Texas at San Antonio (San Antonio, TX)"
*Micah Schilling(minors),2002,41,41,1s,Indians,2B,0.0,FrRnd,Y,"$915,000 ",0.0,0.0,0.0,0.0,0.0,0.0,HS,"Silliman Institute (Clinton, LA)"
Delmon Young(minors),2003,1,1,1,Devil Rays,OF,0.0,FrRnd,Y,"$3,700,000 ",3.2,1118.0,4108.0,109.0,0.283,0.737,HS,"Adolfo Camarillo HS (Camarillo, CA)"
Rickie Weeks(minors),2003,2,2,1,Brewers,2B,0.0,FrRnd,Y,"$3,600,000 ",11.5,1324.0,4417.0,161.0,0.246,0.764,4Yr,"Southern University and A&M College (Baton Rouge, LA)"
Chris Lubanski(minors),2003,5,5,1,Royals,OF,0.0,FrRnd,Y,"$2,100,000 ",0.0,0.0,0.0,0.0,0.0,0.0,HS,"Kennedy-Kenrick Catholic HS (Norristown, PA)"
Ryan Harvey(minors),2003,6,6,1,Cubs,OF,0.0,FrRnd,Y,"$2,400,000 ",0.0,0.0,0.0,0.0,0.0,0.0,HS,"Dunedin HS (Dunedin, FL)"
Nick Markakis(minors),2003,7,7,1,Orioles,OF,0.0,FrRnd,Y,"$1,850,000 ",33.6,2154.0,8302.0,189.0,0.288,0.781,JC,"Young Harris College (Young Harris, GA)"
Ian Stewart(minors),2003,10,10,1,Rockies,3B,0.0,FrRnd,Y,"$1,950,000 ",3.3,511.0,1489.0,61.0,0.229,0.73,HS,"La Quinta HS (Westminster, CA)"
Michael Aubrey(minors),2003,11,11,1,Indians,1B,0.0,FrRnd,Y,"$2,010,000 ",0.2,46.0,135.0,6.0,0.259,0.755,4Yr,"Tulane University (New Orleans, LA)"
Lastings Milledge(minors),2003,12,12,1,Mets,OF,0.0,FrRnd,Y,"$2,075,000 ",0.5,433.0,1500.0,33.0,0.269,0.723,HS,"Lakewood Ranch HS (Bradenton, FL)"
Aaron Hill(minors),2003,13,13,1,Blue Jays,SS,0.0,FrRnd,Y,"$1,675,000 ",24.4,1559.0,5646.0,162.0,0.266,0.74,4Yr,"Louisiana State University (Baton Rouge, LA)"
Brian Anderson(minors),2003,15,15,1,White Sox,OF,0.0,FrRnd,Y,"$1,600,000 ",-0.2,355.0,799.0,22.0,0.227,0.661,4Yr,"University of Arizona (Tucson, AZ)"
David Murphy(minors),2003,17,17,1,Red Sox,OF,0.0,FrRnd,Y,"$1,525,000 ",9.9,1110.0,3467.0,104.0,0.274,0.765,4Yr,"Baylor University (Waco, TX)"
