Year,Rnd,DT,OvPck,FrRnd,RdPck,Tm,Signed,Bonus,Name,Pos,WAR,G,AB,HR,BA,OPS,G,W,L,ERA,WHIP,SV,Type,Drafted Out of,Team Made Playoffs
2012,1s,,32,FrRnd,32,Twins,Y,"$1,550,000 ",*Jose Berrios (minors),RHP,10.8,10,17,0,0.118,0.284,164,66,51,4.19,1.24,0,HS,"Papa Juan HS (Bayamon, Puerto Rico)",0
2012,1s,,33,FrRnd,33,Padres,Y,"$1,200,000 ",*Zach Eflin (minors),RHP,6.5,93,167,1,0.126,0.298,120,36,45,4.53,1.3,0,HS,"Paul J. Hagerty HS (Oviedo, FL)",0
2012,1s,,34,FrRnd,34,Athletics,Y,"$1,500,000 ",*Daniel Robertson (minors),SS,2.2,299,801,18,0.227,0.683,3,0,0,0,0.67,0,HS,"Upland HS (Upland, CA)",1
2012,1s,,35,FrRnd,35,Mets,Y,"$1,400,000 ",*Kevin Plawecki (minors),C,2.9,412,1173,22,0.232,0.655,7,0,0,4.7,0.91,0,4Yr,"Purdue University (West Lafayette, IN)",0
2012,1s,,36,FrRnd,36,Cardinals,Y,"$1,430,000 ",*Stephen Piscotty (minors),3B,7,703,2449,89,0.258,0.758,,,,,,,4Yr,"Stanford University (Palo Alto, CA)",1
2012,1s,,37,FrRnd,37,Red Sox,Y,"$1,000,000 ",*Pat Light (minors),RHP,-0.7,2,0,0,,,17,0,1,11.34,2.28,0,4Yr,"Monmouth University (West Long Branch, NJ)",0
2012,1s,,38,FrRnd,38,Brewers,Y,"$1,200,000 ",*Mitch Haniger (minors),OF,14.2,516,1975,104,0.262,0.818,,,,,,,4Yr,"California Polytechnic State University, San Luis Obispo (San Luis Obispo, CA)",0
2012,1s,,39,FrRnd,39,Rangers,Y,"$2,250,000 ",*Joey Gallo (minors),3B,14.3,692,2208,167,0.202,0.802,,,,,,,HS,"Bishop Gorman HS (Las Vegas, NV)",1
2012,1s,,40,FrRnd,40,Phillies,Y,"$1,291,300 ",*Shane Watson (minors),RHP,,,,,,,,,,,,,HS,"Lakewood HS (Lakewood, CA)",0
2012,1s,,41,FrRnd,41,Astros,Y,"$2,500,000 ",*Lance McCullers Jr. (minors),RHP,9.7,7,14,0,0.071,0.143,122,45,30,3.57,1.25,0,HS,"Jesuit HS (Tampa, FL)",0
2012,1s,,42,FrRnd,42,Twins,Y,"$1,227,000 ",*Luke Bard (minors),RHP,0.6,2,0,0,,,50,3,3,4.63,1.1,0,4Yr,"Georgia Institute of Technology (Atlanta, GA)",0
2012,1s,,43,FrRnd,43,Cubs,Y,"$1,196,000 ",*Pierce Johnson (minors),RHP,0.9,96,1,0,0,0,131,9,8,3.97,1.32,0,4Yr,"Missouri State University (Springfield, MO)",0
2012,1s,,44,FrRnd,44,Padres,Y,"$975,000 ",*Travis Jankowski (minors),OF,2.7,459,1058,9,0.238,0.634,,,,,,,4Yr,"State University of New York at Stony Brook (Stony Brook, NY)",0
