Year,Age,Tm,Lg,IP,G,GS,R,RA9,RA9opp,RA9def,RA9role,RA9extras,PPFp,RA9avg,RAA,WAA,gmLI,WAAadj,WAR,RAR,waaWL%,162WL%,Salary,Awards
2020,23,DET,AL,28.1,7,7,25,7.94,4.83,-0.23,0.24,0,99.8,5.29,-9,-0.8,,0,-0.5,-6,0.39,0.495,,
2021,24,DET,AL,150.1,30,30,64,3.83,4.62,-0.21,0.22,0,99.5,5.02,19,2,,-0.1,3.3,35,0.567,0.512,,
2022,25,DET,AL,10,2,2,6,5.4,4.15,0.29,0.2,0,105.1,4.27,-1,-0.1,,0,-0.1,0,0.426,0.499,,
3 Seasons,,,,188.2,39,39,95,4.53,4.63,-0.18,0.22,0,99.8,5.02,9,1.1,,-0.2,2.7,29,0.528,0.509,,
162 Game Avg.,,,,165,34,34,83,4.53,4.63,-0.18,0.22,0,99.8,5.02,8,1,,-0.2,2.4,25,0.528,0.509,,
