Year,Age,Tm,Lg,G,PA,Rbat,Rbaser,Rdp,Rfield,Rpos,RAA,WAA,Rrep,RAR,WAR,waaWL%,162WL%,oWAR,dWAR,oRAR,Salary,Pos,Awards
2020,22,PHI,NL,8,18,0,1,0,0,0,0,0,1,1,0.1,0.499,0.5,0.1,0,1,,/7HD9,
2021,23,PHI,NL,21,37,-5,1,0,0,0,-4,-0.5,1,-3,-0.3,0.479,0.497,-0.3,0,-3,,/8H79,
2022,24,PHI,NL,9,29,-3,0,0,0,0,-2,-0.2,1,-1,-0.1,0.474,0.499,-0.1,0,-1,,/89H,
3 Seasons,,,,38,84,-8,2,0,0,0,-7,-0.7,3,-4,-0.4,0.482,0.498,-0.4,0,-4,,,
162 Game Avg.,,,,162,358,-34,9,0,0,0,-30,-3,13,-17,-1.7,0.482,0.498,-1.7,0,-17,,,
