Year,Age,Tm,Lg,IP,G,GS,R,RA9,RA9opp,RA9def,RA9role,RA9extras,PPFp,RA9avg,RAA,WAA,gmLI,WAAadj,WAR,RAR,waaWL%,162WL%,Salary,Awards
2016,30,TEX,AL,61.2,58,0,18,2.63,4.59,0.03,-0.33,,107.4,4.55,13,1.4,1.35,0.1,2.1,19,0.524,0.509,,
2017,31,TEX,AL,52.1,57,0,30,5.16,4.91,0,-0.34,,111,5.07,-1,-0.1,1.36,-0.2,0.3,5,0.499,0.5,"$544,920 ",
2018,32,TEX,AL,23,21,0,13,5.09,4.86,-0.23,-0.33,,112.2,5.34,1,0.1,1.05,0,0.3,3,0.503,0.5,"$555,950 ",
,,,,,,,,,,,,,,,,,,,,,,,,
2021,35,TEX,AL,4,4,0,3,6.75,4.86,0.55,-0.32,0,104.9,4.2,-1,-0.1,0.62,0,-0.1,-1,0.471,0.499,,
2022,36,TEX,AL,26.2,30,3,14,4.73,4.67,0.05,-0.25,0,98.7,4.31,-2,-0.2,1.52,-0.1,0,1,0.494,0.499,,
5 Seasons,,,,167.2,170,3,78,4.19,4.75,0,-0.32,0,107.8,4.77,10,1.1,1.33,-0.2,2.6,27,0.506,0.503,"$1,100,870 ",
162 Game Avg.,,,,66,67,1,31,4.19,4.75,0,-0.32,0,107.8,4.77,4,0.4,1.33,-0.1,1,11,0.506,0.503,,
