Year,Age,Tm,Lg,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB,Pos,Awards
2016,22,ATL,NL,38,145,129,20,39,7,1,3,17,3,0,13,34,0.302,0.361,0.442,0.803,115,57,2,0,1,2,5,6/H,
2017,23,ATL,NL,144,551,488,59,113,23,2,6,51,3,3,59,120,0.232,0.312,0.324,0.636,68,158,7,0,0,4,10,*6/H,
2018,24,ATL,NL,136,533,478,51,114,25,4,14,59,10,4,44,122,0.238,0.304,0.395,0.699,87,189,5,2,6,3,15,*6/H,
2019,25,ATL,NL,127,545,483,77,121,26,3,17,65,10,5,51,124,0.251,0.325,0.422,0.748,89,204,7,5,1,5,2,*6/H,
2020,26,ATL,NL,60,264,237,49,65,15,0,10,35,5,0,22,71,0.274,0.345,0.464,0.809,111,110,0,4,0,1,0,*6,MVP-18
2021,27,ATL,NL,160,653,588,78,146,33,2,27,88,9,3,52,167,0.248,0.311,0.449,0.76,97,264,7,5,1,7,4,*6/H,
2022,28,ATL,NL,74,305,276,48,84,14,1,13,43,11,3,25,82,0.304,0.367,0.504,0.871,137,139,4,3,0,1,0,*6,
7 Yrs,,,,739,2996,2679,382,682,143,13,90,358,51,18,266,720,0.255,0.324,0.418,0.742,94,1121,32,19,9,23,36,,
162 Game Avg.,,,,162,657,587,84,150,31,3,20,78,11,4,58,158,0.255,0.324,0.418,0.742,94,246,7,4,2,5,8,,
