Year,Age,Tm,Lg,G,PA,Rbat,Rbaser,Rdp,Rfield,Rpos,RAA,WAA,Rrep,RAR,WAR,waaWL%,162WL%,oWAR,dWAR,oRAR,Salary,Pos,Awards
2005,24,PIT,NL,1,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0,0,0,,/1,
,,,,,,,,,,,,,,,,,,,,,,,
2007,26,PIT,NL,5,4,0,0,0,0,1,1,0.1,0,1,0.1,0.51,0.5,0.1,0,1,,/1,
5 Seasons,,,,6,4,0,0,0,0,1,1,0.1,0,1,0.1,0.508,0.5,0.1,0,1,,,
162 Game Avg.,,,,162,108,0,0,0,0,27,27,2.7,0,27,2.7,0.508,0.5,2.7,0,27,,,
