Year,Age,Tm,Lg,G,PA,Rbat,Rbaser,Rdp,Rfield,Rpos,RAA,WAA,Rrep,RAR,WAR,waaWL%,162WL%,oWAR,dWAR,oRAR,Salary,Pos,Awards
2022,24,BAL,AL,30,121,1,1,0,2,1,6,0.6,4,10,1,0.52,0.504,0.8,0.3,8,,2/DH,
1 Season,,,,30,121,1,1,0,2,1,6,0.6,4,10,1,0.52,0.504,0.8,0.3,8,,,
162 Game Avg.,,,,162,653,5,5,0,11,5,32,3.2,22,54,5.4,0.52,0.504,4.3,1.6,43,,,
