Year,Age,Tm,Lg,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/W,Awards
2016,30,TEX,AL,7,2,0.778,2.48,58,0,15,0,0,1,61.2,44,18,17,4,14,0,61,1,0,2,243,184,2.74,0.941,6.4,0.6,2,8.9,4.36,
2017,31,TEX,AL,3,4,0.429,3.78,57,0,22,0,0,10,52.1,57,30,22,7,19,0,58,4,0,2,240,128,4,1.452,9.8,1.2,3.3,10,3.05,
2018,32,TEX,AL,0,0,,4.7,21,0,6,0,0,0,23,23,13,12,3,14,0,19,2,0,1,108,102,5.29,1.609,9,1.2,5.5,7.4,1.36,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021,35,TEX,AL,0,0,,6.75,4,0,1,0,0,0,4,4,3,3,3,1,0,5,0,0,0,17,70,11.17,1.25,9,6.8,2.3,11.3,5,
2022,36,TEX,AL,2,1,0.667,4.05,30,3,6,0,0,1,26.2,24,14,12,5,7,0,36,2,0,3,115,97,3.88,1.163,8.1,1.7,2.4,12.2,5.14,
5 Yrs,,,,12,7,0.632,3.54,170,3,50,0,0,12,167.2,152,78,66,22,55,0,179,9,0,8,723,129,3.87,1.235,8.2,1.2,3,9.6,3.25,
162 Game Avg.,,,,5,3,0.632,3.54,67,1,20,0,0,5,66,60,31,26,9,22,0,70,4,0,3,284,129,3.87,1.235,8.2,1.2,3,9.6,3.25,
