Year,Age,Tm,Lg,G,PA,Rbat,Rbaser,Rdp,Rfield,Rpos,RAA,WAA,Rrep,RAR,WAR,waaWL%,162WL%,oWAR,dWAR,oRAR,Salary,Pos,Awards
2022,23,MIN,AL,12,41,2,0,0,0,1,2,0.2,1,3,0.3,0.517,0.501,0.3,0.1,3,,8-Jun,
1 Season,,,,12,41,2,0,0,0,1,2,0.2,1,3,0.3,0.517,0.501,0.3,0.1,3,,,
162 Game Avg.,,,,162,554,27,0,0,0,14,27,2.7,14,40,4,0.517,0.501,4,1.4,40,,,
