Year,Age,Tm,Lg,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB,Pos,Awards
2022,24,BAL,AL,30,121,111,15,26,11,1,3,9,0,0,8,22,0.234,0.298,0.432,0.73,107,48,1,2,0,0,0,2/DH,
1 Yr,,,,30,121,111,15,26,11,1,3,9,0,0,8,22,0.234,0.298,0.432,0.73,107,48,1,2,0,0,0,,
162 Game Avg.,,,,162,653,599,81,140,59,5,16,49,0,0,43,119,0.234,0.298,0.432,0.73,107,259,5,11,0,0,0,,
