Year,Age,Tm,Lg,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB,Pos,Awards
2007,28,LAA,AL,2,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,30,PIT,NL,13,2,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,-100,0,0,0,0,0,0,1,
7 Yrs,,,,15,2,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,-100,0,0,0,0,0,0,,
162 Game Avg.,,,,162,22,22,0,0,0,0,0,0,0,0,0,22,0,0,0,0,-100,0,0,0,0,0,0,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LAA (5 yrs),,,,2,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,,
PIT (1 yr),,,,13,2,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,-100,0,0,0,0,0,0,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
